yyyymm,severity,kind,marca,canal,metric,value,threshold,detail
202603,WARN,CHANNEL_DRIFT,NISSAN,RAC,count_vs_same_month_history,-791,+/-250 and +/-25%,"actual=945; media_mismo_mes=1736.3; historico=2437,2188,584; rel=-45.6%"
202603,CRITICAL,CHANNEL_DRIFT,OMODA,Corporate,count_vs_same_month_history,265,+/-250 and +/-25%,"actual=343; media_mismo_mes=78.0; historico=100,56; rel=+339.7%"
202603,CRITICAL,CHANNEL_DRIFT,OMODA,Private,count_vs_same_month_history,1701,+/-250 and +/-25%,"actual=2073; media_mismo_mes=372.0; historico=598,146; rel=+457.3%"
202603,CRITICAL,CHANNEL_DRIFT,OPEL,RAC,count_vs_same_month_history,759,+/-250 and +/-25%,"actual=2169; media_mismo_mes=1410.0; historico=1139,1524,1567; rel=+53.8%"
202603,CRITICAL,CHANNEL_DRIFT,RENAULT,RAC,count_vs_same_month_history,1471,+/-250 and +/-25%,"actual=3481; media_mismo_mes=2010.0; historico=3567,1657,806; rel=+73.2%"
202603,CRITICAL,CHANNEL_DRIFT,SEAT,Corporate,count_vs_same_month_history,929,+/-250 and +/-25%,"actual=2563; media_mismo_mes=1633.7; historico=1706,1133,2062; rel=+56.9%"
202603,WARN,CHANNEL_DRIFT,SEAT,RAC,count_vs_same_month_history,-898,+/-250 and +/-25%,"actual=2580; media_mismo_mes=3478.0; historico=4663,2479,3292; rel=-25.8%"
202603,WARN,CHANNEL_DRIFT,SKODA,Corporate,count_vs_same_month_history,369,+/-250 and +/-25%,"actual=1566; media_mismo_mes=1196.7; historico=1258,929,1403; rel=+30.9%"
202603,WARN,CHANNEL_DRIFT,SKODA,Private,count_vs_same_month_history,476,+/-250 and +/-25%,"actual=1457; media_mismo_mes=981.3; historico=1244,892,808; rel=+48.5%"
202603,CRITICAL,CHANNEL_DRIFT,TESLA,Private,count_vs_same_month_history,866,+/-250 and +/-25%,"actual=1970; media_mismo_mes=1104.3; historico=1424,1137,752; rel=+78.4%"
202603,WARN,CHANNEL_DRIFT,TOYOTA,Corporate,count_vs_same_month_history,1339,+/-250 and +/-25%,"actual=4533; media_mismo_mes=3193.7; historico=2971,3364,3246; rel=+41.9%"
202603,WARN,CHANNEL_DRIFT,TOYOTA,Private,count_vs_same_month_history,1814,+/-250 and +/-25%,"actual=6184; media_mismo_mes=4369.7; historico=4885,4084,4140; rel=+41.5%"
202603,CRITICAL,CHANNEL_DRIFT,TOYOTA,RAC,count_vs_same_month_history,1242,+/-250 and +/-25%,"actual=2863; media_mismo_mes=1621.0; historico=302,3008,1553; rel=+76.6%"
202603,CRITICAL,CHANNEL_DRIFT,VOLKSWAGEN,Private,count_vs_same_month_history,1541,+/-250 and +/-25%,"actual=3758; media_mismo_mes=2216.7; historico=2691,1967,1992; rel=+69.5%"
