anyo,mes,dia,marca,modelo,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,body_type,count
2026,07,30,KIA,STONIC,41,Sevilla,Private,ICE,UKL1,REST,Standard,SAV,1
2026,07,30,KIA,XCEED,41,Sevilla,Private,ICE,UKL2,REST,Standard,HACH 5P,5
2026,07,30,LAND ROVER,DEFENDER,41,Sevilla,Corporate,ICE,MKL,FOCUS SEGMENT,Standard,SUV,1
2026,07,30,LAND ROVER,RANGE ROVER EVOQUE,41,Sevilla,RAC,PHEV,UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,LAND ROVER,RANGE ROVER VELAR,41,Sevilla,RAC,PHEV,MKL,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,LEAPMOTOR,B05,41,Sevilla,Private,BEV,UKL1,REST,Standard,HACH 5P,1
2026,07,30,LEAPMOTOR,B10,41,Sevilla,Corporate,BEV,UKL2,REST,Standard,SAV,1
2026,07,30,LEAPMOTOR,B10,41,Sevilla,Private,BEV,UKL2,REST,Standard,SAV,4
2026,07,30,LEAPMOTOR,T03,41,Sevilla,Corporate,BEV,UKL0,REST,Standard,HACH 5P,6
2026,07,30,LEXUS,ES,41,Sevilla,Private,BEV,MKL,FOCUS SEGMENT,Standard,SEDAN,1
2026,07,30,LEXUS,LBX,41,Sevilla,Corporate,ICE,UKL1,FOCUS SEGMENT,Standard,SAV,2
2026,07,30,LEXUS,NX,41,Sevilla,Corporate,PHEV,KKL,FOCUS SEGMENT,Standard,SAV,2
2026,07,30,LYNK & CO,LYNK&CO 02,41,Sevilla,Private,BEV,UKL2,REST,Standard,SAV,1
2026,07,30,LYNK & CO,LYNK&CO 08,41,Sevilla,Private,PHEV,UKL2,REST,Standard,SAV,1
2026,07,30,MAZDA,6E,41,Sevilla,Corporate,BEV,MKL,REST,Standard,SEDAN,1
2026,07,30,MAZDA,CX5,41,Sevilla,Private,ICE,UKL2,REST,Standard,SAV,1
2026,07,30,MAZDA,CX60,41,Sevilla,Private,ICE,KKL,REST,Standard,SAV,1
2026,07,30,MAZDA,MAZDA 3,41,Sevilla,Private,ICE,UKL2,REST,Standard,SEDAN,1
2026,07,30,MERCEDES,CLASE GLB,41,Sevilla,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,2
2026,07,30,MERCEDES,CLASE GLC,41,Sevilla,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,MERCEDES,CLASE V,41,Sevilla,Private,ICE,MKL,REST,Standard,MPV,1
2026,07,30,MG,HS,41,Sevilla,Private,PHEV,KKL,REST,Standard,SAV,1
2026,07,30,MG,MG 3,41,Sevilla,Private,ICE,UKL1,REST,Standard,HACH 5P,1
2026,07,30,MG,ZS,41,Sevilla,Private,ICE,UKL1,REST,Standard,SAV,2
2026,07,30,MINI,HATCHBACK,41,Sevilla,Corporate,ICE,UKL1,FOCUS SEGMENT,Standard,HACH 3P,1
2026,07,30,MITSUBISHI-FUSO,CANTER,41,Sevilla,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,NISSAN,QASHQAI,41,Sevilla,Private,ICE,UKL2,REST,Standard,SAT,1
2026,07,30,NISSAN,TOWNSTAR,41,Sevilla,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
