anyo,mes,dia,marca,modelo,canal,fuel_type,fuel,segmento,subseg,hp,body_type,cod_prov,provincia,dealer_estimated,dealer_id,confidence,source_confidence,count
2026,08,19,DACIA,DUSTER,Private,ICE,Gasolina/Electrico,SKL,REST,Standard,PICKUP,11,Cádiz,"caetano formula cadiz, s.l.u",72405264,high,official,1
2026,08,19,DACIA,DUSTER,Private,ICE,Gasolina/Electrico,SKL,REST,Standard,PICKUP,11,Cádiz,"caetano formula cadiz, s.l.u",72405265,high,official,1
2026,08,19,DACIA,DUSTER,Private,ICE,Gasolina/Electrico,SKL,REST,Standard,PICKUP,11,Cádiz,"motor arcos, s.l.",72456600,high,official,1
2026,08,19,DACIA,DUSTER,Private,ICE,Gasolina/Electrico,SKL,REST,Standard,PICKUP,15,A Coruña,"caetano formula galicia, s.l.u",72405438,high,official,1
2026,08,19,DACIA,DUSTER,Private,ICE,Gasolina/Electrico,SKL,REST,Standard,PICKUP,24,León,"leomovil, s.l.",72405468,high,official,1
2026,08,19,DACIA,DUSTER,Private,ICE,Gasolina/Electrico,SKL,REST,Standard,PICKUP,31,Navarra,"lazkao garajea, s.l.",72421412,medium,official,1
2026,08,19,DACIA,DUSTER,Private,ICE,Gasolina/Electrico,SKL,REST,Standard,PICKUP,31,Navarra,"unsain, s.l.u.",72405035,high,official,1
2026,08,19,DACIA,DUSTER,Private,ICE,Gasolina/Electrico,SKL,REST,Standard,PICKUP,33,Asturias,"garaje covadonga cangas de onis, s.l.",72423408,high,official,1
2026,08,19,DACIA,DUSTER,Private,ICE,Gasolina/Electrico,SKL,REST,Standard,PICKUP,33,Asturias,"leomotor asturias, s.l.",72405168,high,official,1
2026,08,19,DACIA,DUSTER,Private,ICE,Gasolina/Electrico,SKL,REST,Standard,PICKUP,38,S.C. Tenerife,"motor ari, s.a.",72405269,high,official,2
2026,08,19,DACIA,DUSTER,Private,ICE,Gasolina/Electrico,SKL,REST,Standard,PICKUP,39,Cantabria,"vidal de la peña automoviles, s.l.",72405042,high,official,1
2026,08,19,DACIA,DUSTER,Private,ICE,Gasolina/Electrico,SKL,REST,Standard,PICKUP,45,Toledo,"auto martin-andino, s.l.",72419800,high,official,1
2026,08,19,DACIA,DUSTER,Private,ICE,Gasolina/Electrico,SKL,REST,Standard,PICKUP,46,Valencia,"talleres ginestar, s.l.u.",72405169,high,official,1
2026,08,19,DACIA,DUSTER,Private,ICE,Gasolina/Electrico,SKL,REST,Standard,PICKUP,46,Valencia,"talleres ginestar, s.l.u.",72405333,high,official,1
2026,08,19,DACIA,JOGGER,Private,ICE,Gasolina/Electrico,UKL2,REST,Standard,MPV,03,Alicante,"talleres perez juan, s.l.",72438101,high,official,1
2026,08,19,DACIA,JOGGER,Private,ICE,Gasolina/Electrico,UKL2,REST,Standard,MPV,06,Badajoz,"alejandre esquivel e hijos,s.l.",72457408,medium,official,1
2026,08,19,DACIA,JOGGER,Private,ICE,Gasolina/Electrico,UKL2,REST,Standard,MPV,18,Granada,"japemasa solar, s.l",72405353,high,official,1
2026,08,19,DACIA,JOGGER,Private,ICE,Gasolina/Electrico,UKL2,REST,Standard,MPV,31,Navarra,"unsain, s.l.u.",72405035,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,03,Alicante,"talleres blas serna, s.a.",72437700,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,07,Baleares,"autos socias perello, s.l.",72405247,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,07,Baleares,"motorauto ponent, s.a.",72459909,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,07,Baleares,"punicauto, s.l.",72459800,high,official,2
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,08,Barcelona,comercial marti s.a.,72405384,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,08,Barcelona,"remm guitart, s.l.",72405237,high,official,3
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,11,Cádiz,"caetano formula cadiz, s.l.u",72405265,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,15,A Coruña,"caetano formula galicia, s.l.u",72405437,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,15,A Coruña,"vealsi deza,s.l",72405316,medium,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,16,Cuenca,"automaor, s.l",72405426,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,17,Girona,"intercargirona.s,l",72405408,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,22,Huesca,"antonio bardaji, s.l.",72436203,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,24,León,"leomovil, s.l.",72423617,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,25,Lleida,"autansa 3000,s.l.u.",72405181,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,27,Lugo,"caetano formula galicia, s.l.u",72405057,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,33,Asturias,"leomotor asturias, s.l.",72405168,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,33,Asturias,"leomotor asturias, s.l.",72405366,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,33,Asturias,"norte motor,s.l.",72405239,high,official,3
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,35,Las Palmas,"juan toledo, s.l.",72405138,high,official,2
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,38,S.C. Tenerife,"motor ari, s.a.",72405269,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,41,Sevilla,"guadaira movil 2001, s.l",72405338,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,46,Valencia,"automocion hnos. suarez,s.l.",72439401,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,46,Valencia,"ginestar automocion, s.l.u. (alcira",72405276,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,46,Valencia,"talleres ginestar, s.l.u.",72405169,high,official,1
2026,08,19,DACIA,SANDERO,Private,ICE,Gasolina,UKL1,REST,Standard,HACH 5P,46,Valencia,"talleres ginestar, s.l.u.",72405333,high,official,1
2026,08,19,HYUNDAI,I20,Private,ICE,Gasolina Mild Hybrid,UKL1,REST,Standard,HACH 5P,07,Baleares,proa automoción,687,high,official,1
2026,08,19,HYUNDAI,I20,Private,ICE,Gasolina Mild Hybrid,UKL1,REST,Standard,HACH 5P,08,Barcelona,senco motor,183,high,official,1
2026,08,19,HYUNDAI,I20,Private,ICE,Gasolina Mild Hybrid,UKL1,REST,Standard,HACH 5P,11,Cádiz,guadalete motor,649,high,official,1
2026,08,19,HYUNDAI,I20,Private,ICE,Gasolina Mild Hybrid,UKL1,REST,Standard,HACH 5P,14,Córdoba,corhyund,695,high,official,1
2026,08,19,HYUNDAI,I20,Private,ICE,Gasolina Mild Hybrid,UKL1,REST,Standard,HACH 5P,18,Granada,sport automoción,63,high,official,1
2026,08,19,HYUNDAI,I20,Private,ICE,Gasolina Mild Hybrid,UKL1,REST,Standard,HACH 5P,23,Jaén,motor jaén,1241,medium,official,1
2026,08,19,HYUNDAI,I30,Private,ICE,Gasolina Mild Hybrid,UKL2,REST,Standard,HACH 5P,25,Lleida,control motor serveis automobilistics,87,high,official,1
2026,08,19,HYUNDAI,INSTER,Private,BEV,Electrico,UKL2,REST,Standard,SAV,03,Alicante,autoalmenar,1167,high,official,1
2026,08,19,HYUNDAI,INSTER,Private,BEV,Electrico,UKL2,REST,Standard,SAV,36,Pontevedra,hyupersa vigo,526,high,official,1
2026,08,19,HYUNDAI,IONIQ 5,Private,BEV,Electrico,UKL2,REST,Standard,SAV,18,Granada,molinauto,65,high,official,1
2026,08,19,HYUNDAI,KONA,Private,BEV,Gasolina/Electrico,UKL1,REST,Standard,SAV,07,Baleares,proa automoción,687,high,official,1
2026,08,19,HYUNDAI,KONA,Private,ICE,Gasolina/Electrico,UKL1,REST,Standard,SAV,04,Almería,gasmovil,1213,medium,official,1
2026,08,19,HYUNDAI,KONA,Private,ICE,Gasolina/Electrico,UKL1,REST,Standard,SAV,08,Barcelona,senco motor,183,high,official,1
2026,08,19,HYUNDAI,KONA,Private,ICE,Gasolina/Electrico,UKL1,REST,Standard,SAV,12,Castellón,mobikorea quadis,1146,high,official,1
