brand,version_dgt,model,segment,subsegment,high_perf,body_type,fuel,fuel_type
BMW,G15 840I A,SERIE 8,GKL,FOCUS SEGMENT,Standard,COUPE,Gasolina,ICE
BMW,G15 840I XDRIVE A,SERIE 8,GKL,FOCUS SEGMENT,Standard,COUPE,Gasolina,ICE
BMW,G15 M850I XDRIVE A,SERIE 8,GKL,FOCUS SEGMENT,M Performance,COUPE,Gasolina,ICE
BMW,G16 840D XDRIVE A,SERIE 8,GKL,FOCUS SEGMENT,Standard,SEDAN,Diesel Mild Hybrid,ICE
BMW,G16 840I A,SERIE 8,GKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina,ICE
BMW,G16 840I XDRIVE A,SERIE 8,GKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina,ICE
BMW,G16 M850I XDRIVE A,SERIE 8,GKL,FOCUS SEGMENT,M Performance,SEDAN,Gasolina,ICE
BMW,G20 318D,SERIE 3,KKL,FOCUS SEGMENT,Standard,SEDAN,Diesel Mild Hybrid,ICE
BMW,G20 318D A,SERIE 3,KKL,FOCUS SEGMENT,Standard,SEDAN,Diesel Mild Hybrid,ICE
BMW,G20 320D A,SERIE 3,KKL,FOCUS SEGMENT,Standard,SEDAN,Diesel Mild Hybrid,ICE
BMW,G20 320D XDRIVE A,SERIE 3,KKL,FOCUS SEGMENT,Standard,SEDAN,Diesel Mild Hybrid,ICE
BMW,G20 320E,SERIE 3,KKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina/Electrico Enchufable,PHEV
BMW,G20 320I A,SERIE 3,KKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina,ICE
BMW,G20 330D XDRIVE A,SERIE 3,KKL,FOCUS SEGMENT,Standard,SEDAN,Diesel Mild Hybrid,ICE
BMW,G20 330E,SERIE 3,KKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina/Electrico Enchufable,PHEV
BMW,G20 330I A,SERIE 3,KKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina,ICE
BMW,G20 330I XDRIVE A,SERIE 3,KKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina,ICE
BMW,G20 M340D XDRIVE A,SERIE 3,KKL,FOCUS SEGMENT,M Performance,SEDAN,Diesel Mild Hybrid,ICE
BMW,G20 M340I XDRIVE A,SERIE 3,KKL,FOCUS SEGMENT,M Performance,SEDAN,Gasolina Mild Hybrid,ICE
BMW,G21 318D,SERIE 3,KKL,FOCUS SEGMENT,Standard,ESTATE,Diesel,ICE
BMW,G21 318D A,SERIE 3,KKL,FOCUS SEGMENT,Standard,ESTATE,Diesel Mild Hybrid,ICE
BMW,G21 320D A,SERIE 3,KKL,FOCUS SEGMENT,Standard,ESTATE,Diesel Mild Hybrid,ICE
BMW,G21 320D XDRIVE A,SERIE 3,KKL,FOCUS SEGMENT,Standard,ESTATE,Diesel Mild Hybrid,ICE
BMW,G21 320E XDRIVE A,SERIE 3,KKL,FOCUS SEGMENT,Standard,ESTATE,Gasolina/Electrico Enchufable,PHEV
BMW,G21 320I A,SERIE 3,KKL,FOCUS SEGMENT,Standard,ESTATE,Gasolina,ICE
BMW,G21 330D XDRIVE A,SERIE 3,KKL,FOCUS SEGMENT,Standard,ESTATE,Diesel Mild Hybrid,ICE
BMW,G21 330E XDRIVE A,SERIE 3,KKL,FOCUS SEGMENT,Standard,ESTATE,Gasolina/Electrico Enchufable,PHEV
BMW,G21 330I A,SERIE 3,KKL,FOCUS SEGMENT,Standard,ESTATE,Gasolina,ICE
BMW,G21 330I XDRIVE A,SERIE 3,KKL,FOCUS SEGMENT,Standard,ESTATE,Gasolina,ICE
BMW,G21 M340D XDRIVE A,SERIE 3,KKL,FOCUS SEGMENT,M Performance,ESTATE,Diesel Mild Hybrid,ICE
BMW,G21 M340I XDRIVE A,SERIE 3,KKL,FOCUS SEGMENT,M Performance,ESTATE,Gasolina Mild Hybrid,ICE
BMW,G22 420D A,SERIE 4,KKL,FOCUS SEGMENT,Standard,COUPE,Diesel Mild Hybrid,ICE
BMW,G22 420I A,SERIE 4,KKL,FOCUS SEGMENT,Standard,COUPE,Gasolina,ICE
BMW,G22 430D XDRIVE A,SERIE 4,KKL,FOCUS SEGMENT,Standard,COUPE,Diesel Mild Hybrid,ICE
BMW,G22 430I A,SERIE 4,KKL,FOCUS SEGMENT,Standard,COUPE,Gasolina,ICE
BMW,G22 430I XDRIVE A,SERIE 4,KKL,FOCUS SEGMENT,Standard,COUPE,Gasolina,ICE
BMW,G22 M440D XDRIVE A,SERIE 4,KKL,FOCUS SEGMENT,M Performance,COUPE,Diesel Mild Hybrid,ICE
BMW,G22 M440I,SERIE 4,KKL,FOCUS SEGMENT,M Performance,COUPE,Gasolina Mild Hybrid,ICE
BMW,G22 M440I XDRIVE A,SERIE 4,KKL,FOCUS SEGMENT,M Performance,COUPE,Gasolina Mild Hybrid,ICE
BMW,G23 420D A,SERIE 4,KKL,FOCUS SEGMENT,Standard,CABRIO,Diesel Mild Hybrid,ICE
BMW,G23 420I A,SERIE 4,KKL,FOCUS SEGMENT,Standard,CABRIO,Gasolina,ICE
BMW,G23 430I A,SERIE 4,KKL,FOCUS SEGMENT,Standard,CABRIO,Gasolina,ICE
BMW,G23 430I A XDRIVE A,SERIE 4,KKL,FOCUS SEGMENT,Standard,CABRIO,Gasolina,ICE
BMW,G23 430I XDRIVE A,SERIE 4,KKL,FOCUS SEGMENT,Standard,CABRIO,Gasolina,ICE
BMW,G23 M440D A,SERIE 4,KKL,FOCUS SEGMENT,M Performance,CABRIO,Diesel Mild Hybrid,ICE
BMW,G23 M440D XDRIVE A,SERIE 4,KKL,FOCUS SEGMENT,M Performance,CABRIO,Diesel Mild Hybrid,ICE
BMW,G23 M440I A,SERIE 4,KKL,FOCUS SEGMENT,M Performance,CABRIO,Gasolina Mild Hybrid,ICE
BMW,G23 M440I XDRIVE A,SERIE 4,KKL,FOCUS SEGMENT,M Performance,CABRIO,Gasolina Mild Hybrid,ICE
BMW,G26 420D A GRAN COUPE,SERIE 4,KKL,FOCUS SEGMENT,Standard,SEDAN,Diesel Mild Hybrid,ICE
BMW,G26 420I A GRAN COUPE,SERIE 4,KKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina,ICE
BMW,G26 430D XDRIVE A GRAN COUPE,SERIE 4,KKL,FOCUS SEGMENT,Standard,SEDAN,Diesel Mild Hybrid,ICE
BMW,G26 430I A GRAN COUPE,SERIE 4,KKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina,ICE
BMW,G26 430I XDRIVE A GRAN COUPE,SERIE 4,KKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina,ICE
BMW,G26 I4 EDRIVE35,I4,KKL,FOCUS SEGMENT,Standard,SEDAN,Electrico,BEV
BMW,G26 I4 EDRIVE40,I4,KKL,FOCUS SEGMENT,Standard,SEDAN,Electrico,BEV
BMW,G26 I4 M50,I4,KKL,FOCUS SEGMENT,M Performance,SEDAN,Electrico,BEV
BMW,G26 I4 M60,I4,KKL,FOCUS SEGMENT,M Performance,SEDAN,Electrico,BEV
BMW,G26 M440I GRAN COUPE,SERIE 4,KKL,FOCUS SEGMENT,M Performance,SEDAN,Gasolina Mild Hybrid,ICE
BMW,G26 M440I XDRIVE GRAN COUPE,SERIE 4,KKL,FOCUS SEGMENT,M Performance,SEDAN,Gasolina Mild Hybrid,ICE
BMW,G29 M40I,Z4,KKL,FOCUS SEGMENT,M Performance,ROADSTER,Gasolina,ICE
BMW,G29 SDRIVE 20I,Z4,KKL,FOCUS SEGMENT,Standard,ROADSTER,Gasolina,ICE
BMW,G29 SDRIVE 30I,Z4,KKL,FOCUS SEGMENT,Standard,ROADSTER,Gasolina,ICE
BMW,G30LCI 520D A,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Diesel Mild Hybrid,ICE
BMW,G30LCI 520D XDRIVE A,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Diesel Mild Hybrid,ICE
BMW,G30LCI 520E,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina/Electrico Enchufable,PHEV
BMW,G30LCI 520I A,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina Mild Hybrid,ICE
BMW,G30LCI 530D XDRIVE A,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Diesel Mild Hybrid,ICE
BMW,G30LCI 530E,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina/Electrico Enchufable,PHEV
BMW,G30LCI 530E XDRIVE,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina/Electrico Enchufable,PHEV
BMW,G30LCI 530I A,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina Mild Hybrid,ICE
BMW,G30LCI 540D XDRIVE A,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Diesel Mild Hybrid,ICE
BMW,G30LCI 545E XDRIVE,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina/Electrico Enchufable,PHEV
BMW,G30LCI M550I XDRIVE A,SERIE 5,MKL,FOCUS SEGMENT,M Performance,SEDAN,Gasolina,ICE
BMW,G31LCI 520D A,SERIE 5,MKL,FOCUS SEGMENT,Standard,ESTATE,Diesel Mild Hybrid,ICE
BMW,G31LCI 520D XDRIVE A,SERIE 5,MKL,FOCUS SEGMENT,Standard,ESTATE,Diesel Mild Hybrid,ICE
BMW,G31LCI 520I A,SERIE 5,MKL,FOCUS SEGMENT,Standard,ESTATE,Gasolina Mild Hybrid,ICE
BMW,G31LCI 530D XDRIVE A,SERIE 5,MKL,FOCUS SEGMENT,Standard,ESTATE,Diesel Mild Hybrid,ICE
BMW,G31LCI 530E A,SERIE 5,MKL,FOCUS SEGMENT,Standard,ESTATE,Gasolina/Electrico Enchufable,PHEV
BMW,G31LCI 530E XDRIVE A,SERIE 5,MKL,FOCUS SEGMENT,Standard,ESTATE,Gasolina/Electrico Enchufable,PHEV
BMW,G31LCI 540D XDRIVE A,SERIE 5,MKL,FOCUS SEGMENT,Standard,ESTATE,Diesel Mild Hybrid,ICE
BMW,G32LCI 620D GRAN TURISMO A,SERIE 6,MKL,FOCUS SEGMENT,Standard,SAT,Diesel Mild Hybrid,ICE
