BRAND,SUB_MODEL_NAME,SUB_MODEL_SHORT,IHS_CODE_SUBMODEL,GENERATION_YEAR,IHS_BODY_GROUP,BMW_CLASSIFICATION,BMW_REGIONAL_C1,BMW_SEGMENT,BMW_CONCEPT,BMW_SUB_CONCEPT
ALFA ROMEO,ALFA ROMEO GIULIA CLASSIC,GIULIA CLASSIC,ALGL,1962.0,SEDAN,NEAR PREMIUM,REST,KKL,SEDAN,SEDAN
RENAULT,RENAULT 4 CLASSIC,4 CLASSIC,RE04,1961.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
JAGUAR,JAGUAR E-TYPE,E-TYPE,JDET,1961.0,ROADSTER,PREMIUM,TRAD. COMP.,GKL,ROADSTER,ROADSTER
BARKAS,BARKAS B 1000,B 1000,BA10,1961.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SAAB,SAAB 92/93/95/96,92/93/95/96,SA95,1960.0,SEDAN,NEAR PREMIUM,REST,KKL,SEDAN,SEDAN
ROVER,ROVER MINI,MINI,ROMI,1959.0,CONVERTIBLE,NEAR PREMIUM,REST,UKL0,CABRIO,CABRIO
HINDUSTAN,HINDUSTAN AMBASSADOR,AMBASSADOR,HDAM,1957.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
JAGUAR,JAGUAR XK 150,XK 150,JDX6,1957.0,UNSPECIFIED,PREMIUM,TRAD. COMP.,GKL,UNSPEC.,UNSPEC.
FIAT,FIAT 500 CLASSIC,500 CLASSIC,FIN5,1957.0,SEDAN,BASE,REST,UKL0,HATCH,HATCH
FIAT,FIAT 600 CLASSIC,600 CLASSIC,FI61,1956.0,SEDAN,BASE,REST,UKL0,HATCH,HATCH
OPEL,OPEL OLYMPIA REKORD,OLYMPIA REKORD,OPOR,1956.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
MERCEDES-BENZ,MERCEDES-BENZ 190 SL,190 SL,MBAQ,1955.0,ROADSTER,PREMIUM,TRAD. COMP.,GKL,ROADSTER,ROADSTER
MERCEDES-BENZ,MERCEDES-BENZ 190 SLC,190 SLC,MBAP,1955.0,COUPE,PREMIUM,TRAD. COMP.,GKL,COUPE,COUPE
SUZUKI,SUZUKI SL 413,SL 413,SUSL,1955.0,UNSPECIFIED,BASE,REST,UKL1,UNSPEC.,UNSPEC.
GLAS,GLAS GOGGOMOBIL/ISAR,GOGGOMOBIL/ISAR,GLGO,1954.0,UNSPECIFIED,BASE,REST,UKL2,UNSPEC.,UNSPEC.
ROVER,AUSTIN A30/A35-SERIES,A30/A35-SERIES,ROA3,1951.0,SEDAN,BASE,REST,UKL0,SEDAN,SEDAN
CITROEN,CITROEN 2 CV,2 CV,CICV,1948.0,UNSPECIFIED,BASE,REST,UKL0,UNSPEC.,UNSPEC.
MERCEDES-BENZ,MERCEDES-BENZ 170,170,MBCG,1946.0,CONVERTIBLE,PREMIUM,TRAD. COMP.,KKL,CABRIO,CABRIO
OPEL,OPEL OLYMPIA,OLYMPIA,OPOL,1938.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
AC,AC ACE,ACE,A4AC,,ROADSTER,PREMIUM,REST,MKL,ROADSTER,ROADSTER
ACHLEITNER,ACHLEITNER MANTRA,MANTRA,UYMA,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ACHLEITNER,ACHLEITNER UNSPEC.,UNSPECIFIED,UYZZ,,UNSPECIFIED,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ACURA,ACURA ADX EV,ADX EV,AR!!,,SUV,NEAR PREMIUM,REST,KKL,SAV,SAV
ACURA,ACURA C-CUV EV,C-CUV EV,AR0B,,SUV,NEAR PREMIUM,REST,UKL2,SAV,SAV
ACURA,ACURA CDX,CDX,ARCD,,SUV,NEAR PREMIUM,REST,UKL2,SAV,SAV
ACURA,ACURA RSX,RSX,AR!$,,SUV,NEAR PREMIUM,REST,KKL,SAV,SAC
ACURA,ACURA UNSPEC.,UNSPECIFIED,ARZZ,,HATCHBACK,NEAR PREMIUM,REST,KKL,HATCH,HATCH
ACURA,ACURA VIGOR,VIGOR,ARVI,,SEDAN,NEAR PREMIUM,REST,KKL,SEDAN,SEDAN
ACURA-GUANGZHOU,ACURA-GUANGZHOU D-CUV EV,D-CUV EV,9A02,,SUV,NEAR PREMIUM,REST,KKL,SAV,SAV
ADDAX MOTORS,ADDAX MT-SERIES,MT-SERIES,22MT,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ADDAX MOTORS,ADDAX UNSPEC.,UNSPECIFIED,22ZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
AEBI,AEBI MULTIGO,MULTIGO,AJMG,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
AEBI,AEBI TP-SERIES,TP-SERIES,AJTS,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
AEBI,AEBI UNSPEC.,UNSPECIFIED,AJZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
AEBI,AEBI SWINGO,SWINGO,AJSW,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
AFEELA,AFEELA 1,1,0R00,,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
AFEELA,AFEELA 2,2,0R01,,SUV,BASE,REST,MKL,SAV,SAV
AFEELA,AFEELA 3,3,0R!!,,SUV,BASE,REST,UKL2,SAV,SAV
AGRALE,AGRALE MARRUA,MARRUA,AGMA,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
AGRALE,AGRALE 6000,6000,AG60,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
AGRALE,AGRALE 8500,8500,AG85,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
AGRALE,AGRALE BUS,BUS,AGBU,,BUS,BASE,REST,SKL,BUS,BUS
AGRALE,AGRALE UNSPEC.,UNSPECIFIED,AGZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
AIL,AIL UNSPEC.,UNSPECIFIED,IQZZ,,SUV,BASE,REST,MKL,SUV,SUV
AION,AION B-SEDAN EV,B-SEDAN EV,1T05,,SEDAN,BASE,REST,UKL1,SEDAN,SEDAN
AION,AION C-SUV,C-SUV,1T06,,SUV,BASE,REST,UKL2,SAV,SAV
AION,AION D-MPV,D-MPV,1T03,,MPV,BASE,REST,KKL,MPV,MPV
AION,AION D-SUV EV,D-SUV EV,1T04,,SUV,BASE,REST,KKL,SAV,SAV
AION,AION E-MPV,E-MPV,1T00,,MPV,BASE,REST,MKL,MPV,MPV
AION,AION E-SEDAN,E-SEDAN,1T!!,,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
AION,AION E-SUV EV,E-SUV EV,1T01,,SUV,BASE,REST,MKL,SAV,SAV
AION,AION UNSPEC.,UNSPECIFIED,1TZZ,,UNSPECIFIED,BASE,REST,UKL2,UNSPEC.,UNSPEC.
AIQAR,AIQAR EQ1,EQ1,!L!!,,HATCHBACK,BASE,REST,UKL0,HATCH,HATCH
AIQAR,AIQAR EQ3,EQ3,!L!#,,SUV,BASE,REST,UKL2,SUV,SUV
AIQAR,AIQAR EQ7,EQ7,!L!$,,SUV,BASE,REST,KKL,SAV,SAV
AIQAR,AIQAR UNSPEC.,UNSPEC.,!LZZ,,UNSPECIFIED,BASE,REST,UKL2,UNSPEC.,UNSPEC.
AITO,AITO D-HATCH,D-HATCH,3705,,HATCHBACK,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,HATCH,HATCH
AITO,AITO D-SEDAN EV,D-SEDAN EV,3700,,SEDAN,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,SEDAN,SEDAN
AITO,AITO D-SUV EV,D-SUV EV,3704,,SUV,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,SAV,SAV
AITO,AITO D-SUV EV (DI),D-SUV EV (DI),3707,,SUV,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,SAV,SAV
AITO,AITO E-MPV,E-MPV,3708,,MPV,NEAR PREMIUM,REST,MKL,MPV,MPV
AITO,AITO UNSPEC.,UNSPECIFIED,37ZZ,,UNSPECIFIED,NEAR PREMIUM,NEW PLAYERS & TESLA,MKL,UNSPEC.,UNSPEC.
AIWAYS,AIWAYS UNSPEC.,UNSPECIFIED,54ZZ,,UNSPECIFIED,NEAR PREMIUM,REST,UKL2,UNSPEC.,UNSPEC.
AIXAM,AIXAM UNSPEC.,UNSPECIFIED,AKZZ,,UNSPECIFIED,BASE,REST,UKL0,UNSPEC.,UNSPEC.
ALETRA,ALETRA L8 EV,L8 EV,$0!!,,MPV,BASE,REST,KKL,MPV,MPV
ALEXANDER DENNIS LTD.,ALEX. DENNIS DART,DART,DNDA,,BUS,BASE,REST,SKL,BUS,BUS
ALFA ROMEO,ALFA ROMEO 145/146,145/146,AL15,,HATCHBACK,NEAR PREMIUM,REST,UKL2,HATCH,HATCH
ALFA ROMEO,ALFA ROMEO 168,168,AL68,,SEDAN,NEAR PREMIUM,REST,MKL,SEDAN,SEDAN
ALFA ROMEO,ALFA ROMEO 1750/2000,1750/2000,ALZ1,,SEDAN,NEAR PREMIUM,REST,KKL,SEDAN,SEDAN
ALFA ROMEO,ALFA ROMEO ALFETTA,ALFETTA,AL!!,,HATCHBACK,NEAR PREMIUM,REST,UKL2,SAV,SAV
ALFA ROMEO,ALFA ROMEO AR 6,AR 6,AL06,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ALFA ROMEO,ALFA ROMEO AR 8,AR 8,AL08,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ALFA ROMEO,ALFA ROMEO E-CUV,E-CUV,AL04,,SUV,NEAR PREMIUM,REST,MKL,SAV,SAV
ALFA ROMEO,ALFA ROMEO F 12,F 12,AL12,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ALFA ROMEO,ALFA ROMEO GT JUNIOR,GT JUNIOR,ALGT,,COUPE,NEAR PREMIUM,REST,UKL2,COUPE,COUPE
ALFA ROMEO,ALFA ROMEO GTV TBD,GTV TBD,ALGV,,COUPE,NEAR PREMIUM,REST,KKL,COUPE,COUPE
ALFA ROMEO,ALFA ROMEO MONTREAL,MONTREAL,ALMO,,COUPE,NEAR PREMIUM,REST,MKL,COUPE,COUPE
ALFA ROMEO,ALFA ROMEO RIO,RIO,ALRI,,SEDAN,NEAR PREMIUM,REST,MKL,SEDAN,SEDAN
ALFA ROMEO,ALFA ROMEO UNSPEC.,UNSPECIFIED,ALZZ,,COUPE,NEAR PREMIUM,REST,KKL,COUPE,COUPE
ALFARUS,ALFARUS NAT,NAT,0X00,,MPV,BASE,REST,UKL2,MPV,MPV
ALKE,ALKE ATX-SERIES,ATX-SERIES,98A0,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ALPINA,ALPINA 6-SERIES,6-SERIES,AI6S,,COUPE,PREMIUM,TRAD. COMP.,GKL,COUPE,COUPE
ALPINA,ALPINA B11 (7-SER.),B11,AIB1,,SEDAN,PREMIUM,TRAD. COMP.,GKL,SEDAN,SEDAN
ALPINA,ALPINA UNSPEC.,UNSPECIFIED,AIZZ,,COUPE,PREMIUM,TRAD. COMP.,KKL,COUPE,COUPE
ALPINA,ALPINA XD7,XD7,AIXD,,SUV,PREMIUM,TRAD. COMP.,GKL,SAV,SAV
ALPINE,ALPINE A310,A310,8800,,COUPE,NEAR PREMIUM,REST,KKL,COUPE,COUPE
ALPINE,ALPINE A390,A390,8802,,SUV,NEAR PREMIUM,REST,UKL2,SAV,SAV
ALPINE,ALPINE A490,A490,8801,,SUV,NEAR PREMIUM,REST,KKL,SAV,SAV
ALPINE,ALPINE UNSPEC.,UNSPECIFIED,88ZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
ALVIS,ALVIS UNSPEC.,UNSPECIFIED,XVZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
AM GENERAL,AM GENERAL MV-1,MV-1,8AM1,,CAR UTILITY,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
AM GENERAL,AM GENERAL UNSPEC.,UNSPECIFIED,8AZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
AMBERAUTO,AMBERAUTO A5,A5,!D!#,,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
AMBERAUTO,AMBERAUTO EV3,EV3,!D!!,,HATCHBACK,BASE,REST,UKL0,HATCH,HATCH
AMC,AMC AMERICAN,AMERICAN,ACAM,,UNSPECIFIED,BASE,REST,MKL,UNSPEC.,UNSPEC.
AMC,AMC CHRYSLER ALLIANCE,CHRYSLER ALLIANCE,ACAL,,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
AMC,AMC CONCORD,CONCORD,ACCO,,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
AMC,AMC EAGLE,EAGLE,ACEA,,COUPE,BASE,REST,KKL,COUPE,COUPE
AMC,AMC ENCORE,ENCORE,ACEN,,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
AMC,AMC GREMLIN,GREMLIN,ACGR,,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
AMC,AMC HORNET,HORNET,ACHO,,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
AMC,AMC LERMA,LERMA,ACLM,,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
AMC,AMC MATADOR,MATADOR,ACMA,,UNSPECIFIED,BASE,REST,MKL,UNSPEC.,UNSPEC.
AMC,AMC PACER,PACER,ACPA,,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
AMC,AMC RAMBLER,RAMBLER,ACRM,,UNSPECIFIED,BASE,REST,MKL,UNSPEC.,UNSPEC.
AMC,AMC SPIRIT,SPIRIT,ACSP,,COUPE,BASE,REST,UKL2,COUPE,COUPE
AMC,AMC UNSPEC.,UNSPECIFIED,ACZZ,,CONVERTIBLE,BASE,REST,KKL,CABRIO,CABRIO
AMC,AMC WRANGLER,WRANGLER,ACWR,,SUV,BASE,REST,UKL2,SUV,SUV
AMERICAN LAFRANCE,AMERICAN LAFRANCE UNSPEC.,UNSPECIFIED,LFZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
AMUR,AMUR 4346,4346,W246,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ANADOL,ANADOL UNSPEC.,UNSPECIFIED,AZZZ,,UNSPECIFIED,BASE,REST,KKL,UNSPEC.,UNSPEC.
ANDORIA,ANDORIA GAZELA SERIES,GAZELA SERIES,I2GA,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ANDORIA,ANDORIA HONKER,HONKER,I2HO,,SUV,BASE,REST,MKL,SUV,SUV
ANHUI,ANHUI HUA UNSPEC.,UNSPECIFIED,AHZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
ANKAI,ANKAI LIGHT BUS,LIGHT BUS,YFLB,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ANTONELLI,ANTONELLI UNSPEC.,UNSPECIFIED,ANZZ,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ARCFOX,ARCFOX ALPHA-T1,ALPHA-T1,92!&,,SUV,BASE,REST,UKL2,SAV,SAV
ARCFOX,ARCFOX ALPHA-T6,ALPHA-T6,92!@,,SUV,BASE,REST,KKL,SAV,SAV
ARCFOX,ARCFOX C-SEDAN,C-SEDAN,9201,,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
ARCFOX,ARCFOX E-MPV,E-MPV,92!!,,MPV,BASE,REST,MKL,MPV,MPV
ARCFOX,ARCFOX E-SEDAN EV,E-SEDAN EV,9208,,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
ARCFOX,ARCFOX E-SUV,E-SUV,92!$,,SUV,BASE,REST,MKL,SAV,SAV
ARCFOX,ARCFOX UNSPECIFIED,UNSPECIFIED,92ZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
ARO,ARO UNSPEC.,UNSPECIFIED,AOZZ,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
ARRIVAL,ARRIVAL CAR,CAR,1UM0,,MPV,BASE,REST,UKL2,MPV,MPV
ARRIVAL,ARRIVAL VAN,VAN,1UV0,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ASHOK LEYLAND,ASHOK LEYLAND SAATHI,SAATHI,A6!!,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ASHOK LEYLAND,ASHOK LEYLAND CHITAL,CHITAL,A6CH,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
ASHOK LEYLAND,ASHOK LEYLAND UNSPEC.,UNSPECIFIED,A6ZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
ASIA,ASIA AM 705,AM 705,A3A7,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ASIA,ASIA TOWNER,TOWNER,A3TW,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ASIA,ASIA TRUCK,TRUCK,A3TR,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ASIA,ASIA UNSPEC.,UNSPECIFIED,A3ZZ,,SUV,BASE,REST,UKL2,SUV,SUV
ASIASTAR,ASIASTAR UNSPEC.,UNSPECIFIED,YXZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
ASTON MARTIN,ASTON MARTIN DB14,DB14,AM00,,CONVERTIBLE,PREMIUM,TRAD. COMP.,GKL++1,CABRIO,CABRIO
ASTON MARTIN,ASTON MARTIN DB-EV,DB-EV,AMD3,,CONVERTIBLE,PREMIUM,TRAD. COMP.,GKL++1,CABRIO,CABRIO
ASTON MARTIN,ASTON MARTIN DBX COUPE,DBX COUPE,AM03,,SUV,PREMIUM,TRAD. COMP.,GKL++1,SAV,SAC
ASTON MARTIN,ASTON MARTIN UNSPEC.,UNSPECIFIED,AMZZ,,CONVERTIBLE,PREMIUM,TRAD. COMP.,GKL++1,CABRIO,CABRIO
ASTON MARTIN,ASTON MARTIN VALHALLA,VALHALLA,AMVH,,COUPE,PREMIUM,TRAD. COMP.,GKL++3,COUPE,COUPE
AUDI,AUDI 4000,4000,AUU4,,SEDAN,PREMIUM,TRAD. COMP.,KKL,SEDAN,SEDAN
AUDI,AUDI 5000,5000,AUU5,,SEDAN,PREMIUM,TRAD. COMP.,MKL,SEDAN,SEDAN
AUDI,AUDI A3/S3,A3/S3,AUSC,,HATCHBACK,PREMIUM,TRAD. COMP.,UKL2,HATCH,HATCH
AUDI,AUDI A3 E-TRON,A3 E-TRON,AU3E,,HATCHBACK,PREMIUM,TRAD. COMP.,UKL2,HATCH,HATCH
AUDI,AUDI A4 E-TRON,A4 E-TRON,AUEB,,HATCHBACK,PREMIUM,TRAD. COMP.,KKL,SEDAN,SEDAN
AUDI,AUDI A4/80/90 UNSPEC.,A4/80/90 UNSPECIFIED,AUA3,,HATCHBACK,PREMIUM,TRAD. COMP.,KKL,HATCH,HATCH
AUDI,AUDI A4/A6/80/100 UNSPEC.,A4/A6/80/100 UNSPECIFIED,AUA4,,SEDAN,PREMIUM,TRAD. COMP.,KKL,SEDAN,SEDAN
AUDI,AUDI A5 ALLROAD,A5 ALLROAD,AU0D,,WAGON,PREMIUM,TRAD. COMP.,KKL,ESTATE,ESTATE
AUDI,AUDI A5 E-TRON,A5 E-TRON,AUE9,,CONVERTIBLE,PREMIUM,TRAD. COMP.,KKL,CABRIO,CABRIO
AUDI,AUDI A6/100/200 UNSPEC.,A6/100/200 UNSPECIFIED,AUA1,,UNSPECIFIED,PREMIUM,TRAD. COMP.,MKL,UNSPEC.,UNSPEC.
AUDI,AUDI A6/S6/ALLROAD,A6/S6/ALLROAD,AUAS,,SEDAN,PREMIUM,TRAD. COMP.,MKL,SEDAN,SEDAN
AUDI,AUDI A7 ALLROAD,A7 ALLROAD,AU0E,,WAGON,PREMIUM,TRAD. COMP.,MKL,ESTATE,ESTATE
AUDI,AUDI A8 E-TRON,A8 E-TRON,AUQ9,,HATCHBACK,PREMIUM,TRAD. COMP.,GKL,SAT,SAT
AUDI,AUDI C-CUV E-TRON TBD,C-CUV E-TRON TBD,AU08,,SUV,PREMIUM,TRAD. COMP.,UKL2,SAV,SAV
AUDI,AUDI D-COUPE EV,D-COUPE EV,AU!&,,COUPE,PREMIUM,TRAD. COMP.,GKL,COUPE,COUPE
AUDI,AUDI D-SUV EV,D-SUV EV,AU0C,,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
AUDI,AUDI E8 E-TRON,E8 E-TRON,AUE8,,SEDAN,PREMIUM,TRAD. COMP.,GKL,SEDAN,SEDAN
AUDI,AUDI Q10 E-TRON,Q10 E-TRON,AU00,,SUV,PREMIUM,TRAD. COMP.,GKL,SAV,SAV
AUDI,AUDI Q2 E-TRON,Q2 E-TRON,AU06,,SUV,PREMIUM,TRAD. COMP.,UKL1,SAV,SAV
AUDI,AUDI Q5 E-TRON,Q5 E-TRON,AUQ0,,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
AUDI,AUDI Q5 SPORTBACK E-TRON,Q5 SPORTBACK E-TRON,AU07,,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAC
AUDI,AUDI Q6,Q6,AU0F,,SUV,PREMIUM,TRAD. COMP.,MKL,SAV,SAV
AUDI,AUDI Q7 E-TRON,Q7 E-TRON,AU!@,,SUV,PREMIUM,TRAD. COMP.,MKL,SAV,SAV
AUDI,AUDI Q9,Q9,AU8E,,SUV,PREMIUM,TRAD. COMP.,GKL,SAV,SAV
AUDI,AUDI QUATTRO/COUPE UNSPEC.,QUATTRO/COUPE UNSPECIFIED,AUA2,,COUPE,PREMIUM,TRAD. COMP.,KKL,COUPE,COUPE
AUDI,AUDI A6/A7/A8,A6/A7/A8,AUA5,,SEDAN,PREMIUM,TRAD. COMP.,KKL,SEDAN,SEDAN
AUDI,AUDI UNSPEC.,UNSPECIFIED,AUZZ,,COUPE,PREMIUM,TRAD. COMP.,KKL,COUPE,COUPE
AUDI,AUDI URBANSPHERE,URBANSPHERE,AUU0,,MPV,PREMIUM,REST,GKL,MPV,MPV
AUDI-FAW,AUDI-FAW 100/200,100/200,AFA1,,SEDAN,PREMIUM,TRAD. COMP.,MKL,SEDAN,SEDAN
AUDI-FAW,AUDI-FAW A3 E-TRON,A3 E-TRON,AFAE,,HATCHBACK,PREMIUM,TRAD. COMP.,UKL2,HATCH,HATCH
AUDI-FAW,AUDI-FAW A4 E-TRON,A4 E-TRON,AFE4,,HATCHBACK,PREMIUM,TRAD. COMP.,KKL,SEDAN,SEDAN
AUDI-FAW,AUDI-FAW A5,A5,AF05,,SEDAN,PREMIUM,TRAD. COMP.,KKL,SEDAN,SEDAN
AUDI-FAW,AUDI-FAW A6 E-TRON,A6 E-TRON,AFE5,,HATCHBACK,PREMIUM,TRAD. COMP.,MKL,SEDAN,4DR COUPE
AUDI-FAW,AUDI-FAW A7,A7,AF06,,SEDAN,PREMIUM,TRAD. COMP.,MKL,SEDAN,4DR COUPE
AUDI-FAW,AUDI-FAW C+CUV E-TRON TBD,C+CUV E-TRON TBD,AF02,,SUV,PREMIUM,TRAD. COMP.,UKL2,SAV,SAV
AUDI-FAW,AUDI-FAW Q2 E-TRON,Q2 E-TRON,AF00,,SUV,PREMIUM,TRAD. COMP.,UKL1,SAV,SAV
AUDI-FAW,AUDI-FAW Q4 SPORTBACK E-TRON,Q4 SPORTBACK E-TRON,AF04,,SUV,PREMIUM,TRAD. COMP.,UKL2,SAV,SAC
AUDI-FAW,AUDI-FAW Q6 E-TRON,Q6 E-TRON,AFEQ,,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
AUDI-FAW,AUDI-FAW Q6 SPORTBACK E-TRON,Q6 SPORTBACK E-TRON,AFEA,,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAC
AUDI-FAW,AUDI-FAW Q7,Q7,AFQ7,,SUV,PREMIUM,TRAD. COMP.,MKL,SAV,SAV
AUDI-FAW,AUDI-FAW Q8 E-TRON,Q8 E-TRON,AFQ8,,SUV,PREMIUM,TRAD. COMP.,MKL,SAV,SAV
AUDI-FAW,AUDI-FAW UNSPEC.,UNSPECIFIED,AFZZ,,UNSPECIFIED,PREMIUM,TRAD. COMP.,KKL,UNSPEC.,UNSPEC.
AUDI-FAW,AUDI-FAW URBANSPHERE,URBANSPHERE,AFU0,,MPV,PREMIUM,REST,GKL,MPV,MPV
AUDI-SHANGHAI,AUDI-SHANGHAI A5,A5,83A5,,SEDAN,PREMIUM,TRAD. COMP.,KKL,SEDAN,SEDAN
AUDI-SHANGHAI,AUDI-SHANGHAI A6 E-TRON,A6 E-TRON,83A6,,SEDAN,PREMIUM,TRAD. COMP.,MKL,SEDAN,SEDAN
AUDI-SHANGHAI,AUDI-SHANGHAI C-CUV,C-CUV,8304,,SUV,PREMIUM,TRAD. COMP.,UKL2,SAV,SAV
AUDI-SHANGHAI,AUDI-SHANGHAI D-SUV,D-SUV,8303,,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
AUDI-SHANGHAI,AUDI-SHANGHAI E5 SPORTBACK,E5 SPORTBACK,8306,,HATCHBACK,PREMIUM,TRAD. COMP.,KKL,SEDAN,SEDAN
AUDI-SHANGHAI,AUDI-SHANGHAI E-SEDAN EV,E-SEDAN EV,8300,,SEDAN,PREMIUM,TRAD. COMP.,MKL,SEDAN,SEDAN
AUDI-SHANGHAI,AUDI-SHANGHAI E-SUV EV,E-SUV EV,8305,,SUV,PREMIUM,TRAD. COMP.,MKL,SAV,SAV
AUDI-SHANGHAI,AUDI-SHANGHAI Q3 SPORTBACK,Q3 SPORTBACK,83Q4,,SUV,PREMIUM,TRAD. COMP.,UKL2,SAV,SAC
AUDI-SHANGHAI,AUDI-SHANGHAI Q4 E-TRON TBD,Q4 E-TRON TBD,833E,,SUV,PREMIUM,TRAD. COMP.,UKL2,SAV,SAV
AUDI-SHANGHAI,AUDI-SHANGHAI Q6 E-TRON,Q6 E-TRON,835E,,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
AUDI-SHANGHAI,AUDI-SHANGHAI Q6 SPORTBACK E-T,Q6 SPORTBACK E-TRON,8360,,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAC
AUDI-SHANGHAI,AUDI-SHANGHAI Q8 E-TRON,Q8 E-TRON,837E,,SUV,PREMIUM,TRAD. COMP.,MKL,SAV,SAV
AUDI-SHANGHAI,AUDI-SHANGHAI UNSPEC.,UNSPECIFIED,83ZZ,,UNSPECIFIED,PREMIUM,TRAD. COMP.,KKL,UNSPEC.,UNSPEC.
AUDI-SHANGHAI,AUDI-SHANGHAI URBANSPHERE,URBANSPHERE,83!!,,MPV,PREMIUM,REST,GKL,MPV,MPV
AURUS,AURUS ARSENAL,ARSENAL,5LAR,,MPV,NEAR PREMIUM,REST,GKL,MPV,MPV
AURUS,AURUS UNSPECIFIED,UNSPECIFIED,5LZZ,,UNSPECIFIED,BASE,REST,GKL,UNSPEC.,UNSPEC.
AUSA,AUSA TASK,TASK,8UTA,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
AUSA,AUSA UNSPEC.,UNSPECIFIED,8UZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
ROVER,AUSTIN ALLEGRO,ALLEGRO,ROAL,,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
ROVER,AUSTIN AMBASSADOR,AMBASSADOR,ROAB,,HATCHBACK,BASE,REST,KKL,HATCH,HATCH
