BRAND,SUB_MODEL_NAME,SUB_MODEL_SHORT,IHS_CODE_SUBMODEL,GENERATION_YEAR,IHS_BODY_GROUP,BMW_CLASSIFICATION,BMW_REGIONAL_C1,BMW_SEGMENT,BMW_CONCEPT,BMW_SUB_CONCEPT
HYUNDAI-BEIJING,HYUNDAI-BEIJING I30,I30,H7I3,2012.0,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
HYUNDAI-BEIJING,HYUNDAI-BEIJING ELANTRA LANDON,ELANTRA LANDONG,H7ED,2012.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
MERCEDES-BENZ,MERCEDES-BENZ ATRON,ATRON,MBTR,2012.0,TRUCK,BASE,REST,SKL,TRUCK,TRUCK
JINBEI,JINBEI S30,S30,JBSA,2012.0,SUV,BASE,REST,UKL1,SAV,SAV
KENWORTH,KENWORTH T680,T680,KE68,2012.0,TRUCK,BASE,REST,SKL,TRUCK,TRUCK
CHANGHE,CHANGHE SPLA,SPLA,QCSP,2012.0,HATCHBACK,BASE,REST,UKL0,MPV,MPV
ASTON MARTIN,ASTON MARTIN V12 ZAGATO,ZAGATO,AMZA,2012.0,ROADSTER,PREMIUM,TRAD. COMP.,GKL++3,ROADSTER,ROADSTER
SUZUKI,SUZUKI WAGON R+,WAGON R+,SUWP,2012.0,HATCHBACK,BASE,REST,UKL0,MPV,MPV
CITROEN-DONGFENG,CITROEN-DONGFENG C4L,C4L,DGCL,2012.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
FIAT,FIAT 500L,500L,FIM2,2012.0,MPV,NEAR PREMIUM,REST,UKL1,MPV,MPV
GEELY-ENGLON,GEELY-ENGLON SX7,SX7,IES7,2012.0,SUV,BASE,REST,UKL2,SAV,SAV
LINCOLN,LINCOLN MKZ,MKZ,FKMZ,2012.0,SEDAN,NEAR PREMIUM,REST,KKL,SEDAN,SEDAN
DACIA,DACIA LODGY,LODGY,DCLM,2012.0,MPV,BASE,REST,UKL1,MPV,MPV
DACIA,DACIA DOKKER,DOKKER,DCLC,2012.0,UNSPECIFIED,BASE,REST,UKL1,UNSPEC.,UNSPEC.
FIAT,FIAT BRAVO,BRAVO,FIBV,2012.0,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
PORSCHE,PORSCHE 718 CAYMAN,718 CAYMAN,PO7C,2012.0,COUPE,PREMIUM,TRAD. COMP.,KKL,COUPE,COUPE
PORSCHE,PORSCHE BOXSTER,BOXSTER,POBX,2012.0,ROADSTER,PREMIUM,TRAD. COMP.,KKL,ROADSTER,ROADSTER
RAM,RAM PROMASTER CITY,PROMASTER CITY,R5CV,2012.0,CAR UTILITY,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
PROTON,PROTON PREVE,PREVE,PRPV,2012.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
BESTURN,BESTURN B90,B90,ESB9,2012.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
CHANA,CHANA YUEXIANG V5 (ALSVIN),YUEXIANG V5 (ALSVIN),YCA5,2012.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
CHANA,CHANA YUEXIANG V3 (ALSVIN),YUEXIANG V3 (ALSVIN),YCA3,2012.0,SEDAN,BASE,REST,UKL1,SEDAN,SEDAN
GREAT WALL,GREAT WALL HOVER M4,HOVER M4,GBMA,2012.0,SUV,BASE,REST,UKL1,SAV,SAV
PORSCHE,PORSCHE CAYMAN,CAYMAN,POCY,2012.0,COUPE,PREMIUM,TRAD. COMP.,KKL,COUPE,COUPE
LOTUS,LOTUS EXIGE,EXIGE,LOEX,2012.0,UNSPECIFIED,PREMIUM,NEW PLAYERS & TESLA,KKL,UNSPEC.,UNSPEC.
MERCEDES-BENZ,MERCEDES-BENZ SL 350,SL 350,MBAI,2012.0,RETRACTABLE HARDTOP,PREMIUM,TRAD. COMP.,GKL,ROADSTER,ROADSTER
MEGA,MEGA EWORKER,EWORKER,M2M1,2012.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
RAM,RAM VAN 1000 (CITY),VAN 1000 (CITY),R5V1,2012.0,CAR UTILITY,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MERCEDES-BENZ,MERCEDES-BENZ GL,GL,MBGO,2012.0,SUV,PREMIUM,TRAD. COMP.,GKL,SAV,SAV
YEMA,YEMA F16,F16,XYF6,2012.0,SUV,BASE,REST,UKL2,SUV,SUV
XIALI,XIALI WEIZHI V5,WEIZHI V5,TJV5,2012.0,SEDAN,BASE,REST,UKL1,SEDAN,SEDAN
CHANA,CHANA STAR III,STAR III,YCS3,2012.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
CHANA,CHANA M SERIES,M SERIES,YCSM,2012.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
CHANA,CHANA STAR 5,STAR 5,YCS5,2012.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
GREAT WALL,GREAT WALL HAVAL M4,HAVAL M4,GBM4,2012.0,SUV,BASE,REST,UKL1,SAV,SAV
HYUNDAI,HYUNDAI SANTA FE XL,SANTA FE XL,HYSL,2012.0,SUV,BASE,REST,MKL,SAV,SAV
HYUNDAI,HYUNDAI SANTA FE SPORT,SANTA FE SPORT,HYSS,2012.0,SUV,BASE,REST,KKL,SAV,SAV
HYUNDAI,HYUNDAI SANTA FE (GRAND),SANTA FE (GRAND),HYSG,2012.0,SUV,BASE,REST,MKL,SAV,SAV
LUXGEN,LUXGEN 5,5,L051,2012.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
FERRARI,FERRARI F12,F12,FR62,2012.0,COUPE,PREMIUM,TRAD. COMP.,GKL++3,COUPE,COUPE
