brand,dealer_id,dealer_name,point_of_sale,point_of_sale_id,address,postcode,city,province,latitude,longitude,source_kind,source_confidence,source_url,retrieved_date
Dacia,72405104,"AUTOCARPE CONCESIONARIO, S.L.",AUTOCARPE CONCESIONARIO (GUADALAJARA),72405104_001,"P. IND. II-NAVE MODULO B-4, PARC.38",19171,CABANILLAS DEL CAMPO,,40.6212640,-3.2031200,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405348,"KOSKA ENARA, S.L","KOSKA ENARA, S.L",72405348_001,"PASEO TXINGURRI, 28",20017,SAN SEBASTIAN,,43.3163855,-1.9424133,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405293,"GAURSA MOTOR,S.L.","GAURSA MOTOR,S.L.",72405293_001,P.I. MAKARRAZTEGI 4,20180,OIARTZUN,,43.3182800,-1.8717050,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72421412,"LAZKAO GARAJEA, S.L.","LAZKAO GARAJEA, S.L.",72421412_001,"POL.INDUSTRIAL SEMPERE, 5 Y 7",20210,LAZCANO,,43.0440590,-2.1914070,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405334,"IRAZCAR, S.L","IRAZCAR, S.L",72405334_001,"POLIGONO BENTA ALDEA, 5",20270,ANOETA,,43.1539400,-2.0701600,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405094,"SYRSA AUTOMOCION, S.L.",SYRSA AUTOMOCION (HUELVA),72405094_001,"POLIGONO IND. LA PAZ PCELAS, 20-23",21007,HUELVA,,37.2624061,-6.9189737,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72455540,"ZAMORA AUTOS, S.L.","ZAMORA AUTOS, S.L.",72455540_001,"CTRA. DE CIRCUNVALACION, S/N",21440,LEPE,,37.2609341,-7.1967870,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405076,"SYRSA AUTOMOCION, S.L.",SYRSA AUTOMOCION (BOLLULLOS),72405076_001,"CARPINTEROS S/N, POL. IND. EL LIRIO",21710,BOLLULLOS DEL CONDADO,,37.3534775,-6.5416470,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72455536,"TALLER MECANICO SAN MIGUEL, S.L.","TALLER MECANICO SAN MIGUEL, S.L.",72455536_001,"POLIGONO LOS ARROYOS , NAVE 1",21800,MOGUER,,37.2695278,-6.8337565,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72436200,"AUTO CUATRO, S.A.","AUTO CUATRO, S.A.",72436200_001,"JOAQUIN CAJAL LASALA, S/N",22004,HUESCA,,42.1348391,-0.4171191,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72436203,"ANTONIO BARDAJI, S.L.","ANTONIO BARDAJI, S.L.",72436203_001,"HUESCA,15",22300,BARBASTRO,,42.0338351,0.1300907,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72436205,"TALLERES BLANCO, S.A.","TALLERES BLANCO, S.A.",72436205_001,"Pº SAN JUAN BOSCO, S/N",22400,MONZON,,41.9165039,0.1860084,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72436217,"TALLERES GONZALEZ SERRANO, S.L.","TALLERES GONZALEZ SERRANO, S.L.",72436217_001,"ZARAGOZA, S/N",22500,BINEFAR,,41.8528610,0.2891210,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
