BRAND,SUB_MODEL_SHORT,IHS_CODE_SUBMODEL,GENERATION_YEAR,IHS_BODY_GROUP,BMW_CLASSIFICATION,BMW_REGIONAL_C1,BMW_SEGMENT,BMW_CONCEPT,BMW_SUB_CONCEPT
SPERANZA,ENVY,NZEN,,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
SPERANZA,M11,NZM1,,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
SPERANZA,M12,NZM2,,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
SPORTEQUIPE,UNSPECIFIED,3SZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
SPYKER,UNSPECIFIED,S5SZ,,UNSPECIFIED,PREMIUM,TRAD. COMP.,GKL++2,UNSPEC.,UNSPEC.
SRM,LIGHT TRUCK,6N00,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SRM,LITTLE HIACE,6N01,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SRM,UNSPEC.,6NZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
SSANGYONG,RHINO,SGRH,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
SSANGYONG,ISTANA,SGIS,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SSANGYONG,KORANDO 602,SGK6,,SUV,BASE,REST,KKL,SAV,SAV
SSANGYONG,MUSSO EV,SG!$,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
SSANGYONG,NOMAD,SGNO,,SUV,BASE,REST,UKL2,SAV,SAC
SSANGYONG,TORRES PICKUP,SG00,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
