dealer_name,point_of_sale,postcode,city,latitude,longitude,source_url
BYD Sant Boi,BYD Sant Boi,08830,Sant Boi de Llobregat,41.324012,2.030915,https://www.byd.com/es-es/find-store
BYD Barakaldo,BYD Barakaldo,48901,Barakaldo,43.300591571191866,-2.999550644468687,https://www.byd.com/es-es/find-store
BYD Sant Just,BYD Sant Just,08960,Sant Just Desvern,41.37949280540825,2.068351804612917,https://www.byd.com/es-es/find-store
BYD Caldas,BYD Caldas,36615,Caldas de Reis,42.576198,-8.720154,https://www.byd.com/es-es/find-store
BYD Alcalá de Henares,BYD Alcalá de Henares,28806,Alcalá de Henares,40.482306,-3.39482,https://www.byd.com/es-es/find-store
BYD Cuenca,BYD Cuenca,16004,Cuenca,40.05281381,-2.12361067,https://www.byd.com/es-es/find-store
BYD Ávila,BYD Ávila,05004,Ávila,40.670374,-4.688573,https://www.byd.com/es-es/find-store
BYD Mallorca,BYD Mallorca,07009,Palma,39.61045155006498,2.6644754966302346,https://www.byd.com/es-es/find-store
BYD Las Rozas de Madrid,BYD Las Rozas de Madrid,28232,Las Rozas de Madrid,40.497432497557675,-3.8869750741311004,https://www.byd.com/es-es/find-store
BYD Huesca,BYD Huesca,22004,Huesca,42.13483793176837,-0.4185623603070708,https://www.byd.com/es-es/find-store
BYD Figueres,BYD Figueres,17600,Figueres,42.228987,2.955115,https://www.byd.com/es-es/find-store
BYD La Palma,BYD La Palma,38750,La Palma,28.645507,-17.88613,https://www.byd.com/es-es/find-store
BYD Cáceres,BYD Cáceres,10005,Cáceres,39.453633426048384,-6.382719900322533,https://www.byd.com/es-es/find-store
BYD Tenerife,BYD Tenerife,38108,Santa Cruz de Tenerife,28.461687029881023,-16.300041114879477,https://www.byd.com/es-es/find-store
BYD Gijón,BYD Gijón,33392,Gijón,43.50844465393206,-5.69386520271954,https://www.byd.com/es-es/find-store
BYD Lleida,BYD Lleida,25190,Lleida,41.617591,0.681196,https://www.byd.com/es-es/find-store
BYD Valladolid,BYD Valladolid,47016,Valladolid,41.632021175830666,-4.7659611153447825,https://www.byd.com/es-es/find-store
BYD Ciudad Real,BYD Ciudad Real,13005,Ciudad Real,38.985629,-3.910549,https://www.byd.com/es-es/find-store
BYD Granada,BYD Granada,18210,Peligros,37.21991046361223,-3.6265827817433367,https://www.byd.com/es-es/find-store
BYD Cobo Calleja,BYD Cobo Calleja,28947,Fuenlabrada,40.26973466036478,-3.743815406405414,https://www.byd.com/es-es/find-store
BYD Alginet,BYD Alginet,46230,Alginet,39.249062,-0.477279,https://www.byd.com/es-es/find-store
BYD Granollers,BYD Granollers,08402,Granollers,41.592202,2.285547,https://www.byd.com/es-es/find-store
BYD Almería,BYD Almería,04230,Huércal de Almería,36.877534,-2.445684,https://www.byd.com/es-es/find-store
BYD Zaragoza,BYD Zaragoza,50011,Zaragoza,41.662649,-0.928628,https://www.byd.com/es-es/find-store
BYD Torrevieja,BYD Torrevieja,03183,Torrevieja,37.991079,-0.675433,https://www.byd.com/es-es/find-store
BYD Torrent,BYD Torrent,46900,Torrent,39.441376,-0.458808,https://www.byd.com/es-es/find-store
BYD Alicante,BYD Alicante,03007,Alicante/Alacant,38.34455426535581,-0.5225292275162176,https://www.byd.com/es-es/find-store
BYD Tarragona,BYD Tarragona,43006,Tarragona,41.11486814729581,1.2173955352668264,https://www.byd.com/es-es/find-store
BYD Girona,BYD Girona,17458,Girona,41.93812105339361,2.800004936777402,https://www.byd.com/es-es/find-store
BYD Córdoba,BYD Córdoba,14014,Córdoba,37.906913918684225,-4.726345075183754,https://www.byd.com/es-es/find-store
BYD Sant Cugat,BYD Sant Cugat,08174,Sant Cugat del Vallès,41.48040561494604,2.0646586381249077,https://www.byd.com/es-es/find-store
BYD Aranjuez,BYD Aranjuez,28300,Aranjuez,40.05797938215779,-3.614574631872379,https://www.byd.com/es-es/find-store
BYD Sevilla Sur,BYD Sevilla Sur,41014,Sevilla,37.33545186654563,-5.970549815343078,https://www.byd.com/es-es/find-store
BYD Dénia Pop-Up,BYD Dénia Pop-Up,03700,Dénia,38.8402334861,0.12138974025318,https://www.byd.com/es-es/find-store
