anyo,mes,dia,marca,canal,count
2026,06,01,SORTIMO,Corporate,5
2026,06,01,STIL CONVERSION,Private,1
2026,06,01,SUBARU,Private,3
2026,06,01,SUBIELA,Corporate,1
2026,06,01,SUBIELA,RAC,1
2026,06,01,SUZUKI,Private,3
2026,06,01,SWM,Private,2
2026,06,01,TALLERES PRAT RUSIÑOL,Corporate,1
2026,06,01,TECNOCARSA,Corporate,2
2026,06,01,TECNOVE,Corporate,5
2026,06,01,TECNOVE FIBERGLASS,Corporate,1
2026,06,01,TESLA,Corporate,18
2026,06,01,TESLA,Private,105
2026,06,01,TOQUERO,Corporate,1
2026,06,01,TOYOTA,Corporate,96
2026,06,01,TOYOTA,Private,197
2026,06,01,TOYOTA,RAC,3
2026,06,01,ULTRAND,Corporate,1
2026,06,01,VEBLINTER,Corporate,1
2026,06,01,VOLKSWAGEN,Corporate,57
2026,06,01,VOLKSWAGEN,Private,24
2026,06,01,VOLKSWAGEN,RAC,194
2026,06,01,VOLQUETES GONZALVEZ,Corporate,1
2026,06,01,VOLVO,Corporate,9
2026,06,01,VOLVO,Private,12
2026,06,01,WXEVERBRIGHT,Private,1
2026,06,01,XPENG,Corporate,1
2026,06,01,XPENG,Private,2
2026,06,01,XTREMOBILITY,Corporate,1
2026,06,01,YOLDI,Corporate,1
