anyo,mes,dia,marca,modelo,canal,fuel_type,fuel,segmento,subseg,hp,body_type,count
2026,06,05,CITROEN,C5 AIRCROSS,Corporate,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,3
2026,06,05,CITROEN,C5 AIRCROSS,Private,BEV,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,1
2026,06,05,CITROEN,C5 AIRCROSS,Private,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,7
2026,06,05,CITROEN,JUMPER,Corporate,ICE,Diesel,10.SKL,REST,Standard,TRANSPORTER,2
2026,06,05,CITROEN,JUMPER,Private,ICE,Diesel,10.SKL,REST,Standard,TRANSPORTER,2
2026,06,05,CITROEN,JUMPY,Corporate,BEV,Electrico,10.SKL,REST,Standard,TRANSPORTER,1
2026,06,05,CITROEN,JUMPY,Corporate,ICE,Electrico,10.SKL,REST,Standard,TRANSPORTER,4
2026,06,05,CITROEN,JUMPY,Private,ICE,Electrico,10.SKL,REST,Standard,TRANSPORTER,1
2026,06,05,CITROEN,SPACETOURER,Private,ICE,Electrico,10.SKL,REST,Standard,TRANSPORTER,1
2026,06,05,COOLGADES,,Corporate,ICE,Diesel,,,Standard,,1
2026,06,05,CUPRA,CUPRA LEON,Corporate,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,HACH 5P,7
2026,06,05,CUPRA,CUPRA LEON,Corporate,PHEV,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,HACH 5P,8
2026,06,05,CUPRA,CUPRA LEON,Private,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,HACH 5P,6
2026,06,05,CUPRA,CUPRA LEON,RAC,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,HACH 5P,11
2026,06,05,CUPRA,FORMENTOR,Corporate,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAT,5
2026,06,05,CUPRA,FORMENTOR,Corporate,PHEV,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAT,2
2026,06,05,CUPRA,FORMENTOR,Private,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAT,4
2026,06,05,CUPRA,FORMENTOR,Private,PHEV,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAT,2
2026,06,05,CUPRA,FORMENTOR,RAC,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAT,1
2026,06,05,CUPRA,RAVAL,Corporate,BEV,Electrico,2.UKL1,REST,Standard,HACH 5P,13
2026,06,05,CUPRA,RAVAL,Private,BEV,Electrico,2.UKL1,REST,Standard,HACH 5P,2
2026,06,05,CUPRA,TAVASCAN,Corporate,BEV,Electrico,3.UKL2,REST,Standard,SAV,1
2026,06,05,CUPRA,TERRAMAR,Corporate,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAT,3
2026,06,05,CUPRA,TERRAMAR,Corporate,PHEV,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAT,5
2026,06,05,CUPRA,TERRAMAR,Private,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAT,2
2026,06,05,CUPRA,TERRAMAR,Private,PHEV,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAT,3
2026,06,05,CUPRA,TERRAMAR,RAC,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAT,6
2026,06,05,DACIA,BIGSTER,Corporate,ICE,Gasolina/Electrico,3.UKL2,REST,Standard,SAV,7
2026,06,05,DACIA,BIGSTER,Private,ICE,Gasolina/Electrico,3.UKL2,REST,Standard,SAV,25
2026,06,05,DACIA,DUSTER,Corporate,ICE,Gasolina/Electrico,10.SKL,REST,Standard,PICKUP,93
2026,06,05,DACIA,DUSTER,Private,ICE,Gasolina/Electrico,10.SKL,REST,Standard,PICKUP,31
2026,06,05,DACIA,JOGGER,Corporate,ICE,Gasolina/Electrico,3.UKL2,REST,Standard,MPV,1
2026,06,05,DACIA,JOGGER,Private,ICE,Gasolina/Electrico,3.UKL2,REST,Standard,MPV,3
2026,06,05,DACIA,SANDERO,Corporate,ICE,Gasolina,2.UKL1,REST,Standard,HACH 5P,23
2026,06,05,DACIA,SANDERO,Private,ICE,Gasolina,2.UKL1,REST,Standard,HACH 5P,118
2026,06,05,DACIA,SANDERO,RAC,ICE,Gasolina,2.UKL1,REST,Standard,HACH 5P,5
2026,06,05,DACIA,SPRING,Corporate,BEV,Electrico,1.UKL0,REST,Standard,SAV,1
2026,06,05,DACIA,SPRING,Private,BEV,Electrico,1.UKL0,REST,Standard,SAV,1
2026,06,05,DEEPAL,,Corporate,BEV,Electrico,,,Standard,,1
2026,06,05,DEEPAL,,Private,BEV,Electrico,,,Standard,,13
2026,06,05,DETHLEFFS,,RAC,ICE,Diesel,,,Standard,,1
2026,06,05,DFSK,,Corporate,BEV,Electrico,,,Standard,,1
2026,06,05,DFSK,E5,Private,PHEV,Gasolina/Electrico Enchufable,4.KKL,REST,Standard,SAV,1
2026,06,05,DIGAL,,Private,ICE,Diesel,,,Standard,,1
2026,06,05,DONGFENG,BOX,Private,BEV,Electrico,1.UKL0,REST,Standard,HACH 5P,1
2026,06,05,DR,G3,RAC,ICE,Gasolina,2.UKL1,REST,Standard,SAV,19
2026,06,05,DS,,Private,BEV,Electrico,,,Standard,,2
2026,06,05,DS,DS7 CROSSBACK,Corporate,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,3
2026,06,05,DS,DS7 CROSSBACK,Private,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,1
2026,06,05,DS,DS7 CROSSBACK,Private,PHEV,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,1
2026,06,05,EBRO,S400,Corporate,ICE,Gasolina/Electrico,3.UKL2,REST,Standard,SAV,4
2026,06,05,EBRO,S400,Private,ICE,Gasolina/Electrico,3.UKL2,REST,Standard,SAV,20
2026,06,05,EBRO,S700,Corporate,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,1
2026,06,05,EBRO,S700,Private,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,5
2026,06,05,EBRO,S700,Private,PHEV,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,8
2026,06,05,EBRO,S800,Private,PHEV,Gasolina/Electrico Enchufable,4.KKL,REST,Standard,SAV,2
2026,06,05,EBRO,S900,Corporate,PHEV,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,2
2026,06,05,EBRO,S900,Private,PHEV,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,1
2026,06,05,EQUIPFRED,,Corporate,ICE,Diesel,,,Standard,,5
