anyo,mes,marca,canal,fuel_type,count
2026,06,JEEP,Private,ICE,117
2026,06,JEEP,Private,PHEV,8
2026,06,JEEP,RAC,ICE,581
2026,06,JEEP,RAC,PHEV,1
2026,06,JIMECA,Corporate,ICE,5
2026,06,JIMECA,RAC,ICE,1
2026,06,JOA CAMP,RAC,ICE,1
2026,06,JOHN DEERE,Corporate,ICE,1
2026,06,JOHN DEERE,Private,ICE,1
2026,06,JOSE REYES CARROCERO,Corporate,ICE,2
2026,06,JUAN SUAREZ,Corporate,ICE,3
2026,06,JULIA CAMPER,Private,ICE,1
2026,06,KARCHER,Corporate,ICE,3
2026,06,KARSAN,RAC,BEV,1
2026,06,KG MOBILITY,Corporate,BEV,4
2026,06,KG MOBILITY,Corporate,ICE,49
2026,06,KG MOBILITY,Private,BEV,29
2026,06,KG MOBILITY,Private,ICE,142
2026,06,KG MOBILITY,RAC,ICE,295
2026,06,KIA,Corporate,BEV,224
2026,06,KIA,Corporate,ICE,1176
2026,06,KIA,Corporate,PHEV,21
2026,06,KIA,Private,BEV,753
2026,06,KIA,Private,ICE,2602
2026,06,KIA,Private,PHEV,15
2026,06,KIA,RAC,BEV,1
2026,06,KIA,RAC,ICE,1091
2026,06,KIOTI,Private,ICE,1
2026,06,KNAUS,Private,ICE,14
2026,06,KRISMAR,Corporate,ICE,1
2026,06,KUBOTA,Corporate,ICE,3
2026,06,LA JUNQUERA,Corporate,ICE,1
2026,06,LANCIA,Corporate,ICE,27
2026,06,LANCIA,Private,ICE,4
2026,06,LAND ROVER,Corporate,ICE,57
2026,06,LAND ROVER,Corporate,PHEV,78
2026,06,LAND ROVER,Private,ICE,24
2026,06,LAND ROVER,Private,PHEV,25
2026,06,LAND ROVER,RAC,ICE,21
2026,06,LAND ROVER,RAC,PHEV,7
2026,06,LEAPMOTOR,Corporate,BEV,47
2026,06,LEAPMOTOR,Private,BEV,279
2026,06,LEAPMOTOR,RAC,BEV,128
2026,06,LEXUS,Corporate,BEV,39
2026,06,LEXUS,Corporate,ICE,146
2026,06,LEXUS,Corporate,PHEV,120
2026,06,LEXUS,Private,BEV,40
2026,06,LEXUS,Private,ICE,306
2026,06,LEXUS,Private,PHEV,170
2026,06,LEXUS,RAC,ICE,135
2026,06,LEXUS,RAC,PHEV,4
2026,06,LIDERKIT,Corporate,ICE,10
2026,06,LIDERKIT,RAC,ICE,15
2026,06,LIGIER,Corporate,BEV,12
2026,06,LIGIER,Corporate,ICE,10
2026,06,LIGIER,Private,ICE,57
2026,06,LINHAI,Corporate,BEV,1
2026,06,LINHAI,Private,BEV,2
2026,06,LINHAI,Private,ICE,1
2026,06,LIUX,Corporate,BEV,1
2026,06,LIVAN,Corporate,ICE,5
2026,06,LIVAN,Private,ICE,19
2026,06,LIVAN,RAC,ICE,1
2026,06,LONCIN,Corporate,ICE,3
2026,06,LONCIN,Private,ICE,1
2026,06,LOS MAÑOS,Corporate,ICE,1
2026,06,LUIS GARCIA,Private,ICE,1
2026,06,LYNK & CO,Corporate,BEV,8
2026,06,LYNK & CO,Corporate,PHEV,122
2026,06,LYNK & CO,Private,BEV,25
2026,06,LYNK & CO,Private,PHEV,52
2026,06,LYNK & CO,RAC,BEV,1
2026,06,LYNK & CO,RAC,PHEV,150
2026,06,MAN,Corporate,ICE,34
2026,06,MAN,Private,ICE,33
2026,06,MAN,RAC,ICE,44
2026,06,MANITOU,Corporate,ICE,1
2026,06,MANUEL ZUÑIGA MARTINEZ,Corporate,ICE,1
2026,06,MASERATI,Corporate,ICE,8
2026,06,MASERATI,Private,ICE,5
2026,06,MASERATI,RAC,ICE,1
2026,06,MAXUS,Corporate,BEV,4
2026,06,MAXUS,Corporate,ICE,38
2026,06,MAXUS,Private,BEV,2
2026,06,MAXUS,Private,ICE,31
2026,06,MAXUS,RAC,ICE,5
2026,06,MAZDA,Corporate,BEV,13
2026,06,MAZDA,Corporate,ICE,417
2026,06,MAZDA,Corporate,PHEV,28
2026,06,MAZDA,Private,BEV,54
2026,06,MAZDA,Private,ICE,1124
2026,06,MAZDA,Private,PHEV,36
2026,06,MAZDA,RAC,ICE,111
2026,06,MC LOUIS,Corporate,ICE,2
2026,06,MC LOUIS,Private,ICE,28
2026,06,MC LOUIS,RAC,ICE,16
2026,06,MCLOUIS,Corporate,ICE,1
2026,06,MCLOUIS,Private,ICE,50
2026,06,MCLOUIS,RAC,ICE,8
2026,06,MEBAUTO,Corporate,ICE,36
2026,06,MEBAUTO,Private,ICE,2
2026,06,MEBAUTO,RAC,ICE,26
2026,06,MENGERLER,Corporate,ICE,1
2026,06,MERCEDES,Corporate,ICE,11
2026,06,MERCEDES BENZ,Corporate,ICE,6
2026,06,MERCEDES BENZ,Private,ICE,3
2026,06,MERCEDES BENZ,RAC,ICE,1
2026,06,MERCEDES IDILIS,Corporate,ICE,2
2026,06,MERCEDES-AMG,Corporate,ICE,5
2026,06,MERCEDES-AMG,Private,ICE,2
2026,06,MERCEDES-BENZ,Corporate,BEV,363
2026,06,MERCEDES-BENZ,Corporate,ICE,1697
2026,06,MERCEDES-BENZ,Corporate,PHEV,736
2026,06,MERCEDES-BENZ,Private,BEV,263
2026,06,MERCEDES-BENZ,Private,ICE,490
2026,06,MERCEDES-BENZ,Private,PHEV,272
2026,06,MERCEDES-BENZ,RAC,BEV,17
2026,06,MERCEDES-BENZ,RAC,ICE,470
2026,06,MERCEDES-BENZ,RAC,PHEV,108
2026,06,MERCEDES-V,Corporate,BEV,8
2026,06,MERCEDES-V,Corporate,ICE,130
2026,06,MERCEDES-V,Private,ICE,46
2026,06,MERCEDES-V,RAC,ICE,206
2026,06,MERCUS,Private,ICE,1
2026,06,MG,Corporate,BEV,18
2026,06,MG,Corporate,ICE,140
2026,06,MG,Corporate,PHEV,22
2026,06,MG,Private,BEV,76
2026,06,MG,Private,ICE,1666
2026,06,MG,Private,PHEV,284
2026,06,MG,RAC,ICE,2131
2026,06,MINGHONG-POWER,Corporate,BEV,6
2026,06,MINI,Corporate,BEV,122
2026,06,MINI,Corporate,ICE,206
2026,06,MINI,Private,BEV,203
2026,06,MINI,Private,ICE,230
2026,06,MINI,RAC,BEV,17
2026,06,MINI,RAC,ICE,409
2026,06,MINIBUS LUXURY,Corporate,ICE,1
2026,06,MITSUBISHI,Corporate,BEV,2
2026,06,MITSUBISHI,Corporate,ICE,129
2026,06,MITSUBISHI,Corporate,PHEV,23
2026,06,MITSUBISHI,Private,BEV,1
2026,06,MITSUBISHI,Private,ICE,90
2026,06,MITSUBISHI,Private,PHEV,72
2026,06,MITSUBISHI,RAC,ICE,372
