anyo,mes,marca,canal,dgt,simmix,delta,delta_pct
2025,05,Skoda,Corporate,1221,1266,-45,-3.55
2025,05,Skoda,Private,1221,1218,3,0.25
2025,05,Skoda,RAC,1729,1684,45,2.67
2025,06,Skoda,Corporate,1344,1505,-161,-10.7
2025,06,Skoda,Private,1274,1272,2,0.16
2025,06,Skoda,RAC,1891,1731,160,9.24
2025,07,Skoda,Corporate,1834,1836,-2,-0.11
2025,07,Skoda,Private,1492,1490,2,0.13
2025,07,Skoda,RAC,701,701,0,0.0
2025,08,Skoda,Corporate,1129,1131,-2,-0.18
2025,08,Skoda,Private,926,921,5,0.54
2025,08,Skoda,RAC,75,75,0,0.0
2025,09,Skoda,Corporate,1613,1612,1,0.06
2025,09,Skoda,Private,1432,1433,-1,-0.07
2025,09,Skoda,RAC,315,314,1,0.32
2025,10,Skoda,Corporate,1805,1804,1,0.06
2025,10,Skoda,Private,1811,1813,-2,-0.11
2025,10,Skoda,RAC,445,445,0,0.0
2025,11,Skoda,Corporate,1438,1441,-3,-0.21
2025,11,Skoda,Private,1553,1551,2,0.13
2025,11,Skoda,RAC,396,396,0,0.0
2025,12,Skoda,Corporate,1850,1852,-2,-0.11
2025,12,Skoda,Private,1463,1460,3,0.21
2025,12,Skoda,RAC,134,135,-1,-0.74
2023,09,Skywell,Corporate,0,1,-1,-100.0
2023,09,Skywell,Private,0,0,0,
2023,09,Skywell,RAC,0,0,0,
2024,04,Skywell,Corporate,0,1,-1,-100.0
2024,04,Skywell,Private,0,0,0,
2024,04,Skywell,RAC,0,0,0,
2024,05,Skywell,Corporate,0,1,-1,-100.0
2024,05,Skywell,Private,0,0,0,
2024,05,Skywell,RAC,0,0,0,
2024,06,Skywell,Corporate,0,1,-1,-100.0
2024,06,Skywell,Private,0,0,0,
2024,06,Skywell,RAC,0,0,0,
2024,07,Skywell,Corporate,0,1,-1,-100.0
2024,07,Skywell,Private,0,0,0,
2024,07,Skywell,RAC,0,0,0,
2024,09,Skywell,Corporate,0,1,-1,-100.0
2024,09,Skywell,Private,0,0,0,
2024,09,Skywell,RAC,0,0,0,
2025,01,Skywell,Corporate,0,1,-1,-100.0
2025,01,Skywell,Private,0,0,0,
2025,01,Skywell,RAC,0,0,0,
2025,02,Skywell,Corporate,0,0,0,
2025,02,Skywell,Private,0,1,-1,-100.0
2025,02,Skywell,RAC,0,0,0,
