anyo,mes,marca,canal,count
2025,04,LINHAI,Private,1
2025,04,LIVAN,Corporate,11
2025,04,LIVAN,Private,7
2025,04,LONCIN,Private,1
2025,04,LOS MAÑOS,RAC,1
2025,04,LOTUS,Corporate,1
2025,04,LOTUS,Private,1
2025,04,LYNK & CO,Corporate,88
2025,04,LYNK & CO,Private,13
2025,04,MAN,Corporate,65
2025,04,MAN,Private,20
2025,04,MAN,RAC,28
2025,04,MASERATI,Corporate,12
2025,04,MASERATI,Private,5
2025,04,MASSEY-FERGUSON,Private,1
2025,04,MAXUS,Corporate,30
2025,04,MAXUS,Private,9
2025,04,MAZDA,Corporate,236
2025,04,MAZDA,Private,1204
2025,04,MAZDA,RAC,137
2025,04,MAZZOCCHIA,Corporate,1
2025,04,MC LOUIS,Corporate,1
2025,04,MC LOUIS,Private,17
2025,04,MC LOUIS,RAC,8
2025,04,MCLOUIS,Corporate,2
2025,04,MCLOUIS,Private,16
2025,04,MCLOUIS,RAC,21
2025,04,MEBAUTO,Corporate,13
2025,04,MEBAUTO,RAC,2
2025,04,MENGERLER,RAC,1
2025,04,MERCEDES BENZ,Corporate,5
2025,04,MERCEDES BENZ,Private,1
2025,04,MERCEDES-AMG,Corporate,5
2025,04,MERCEDES-AMG,Private,4
2025,04,MERCEDES-AMG,RAC,7
2025,04,MERCEDES-BENZ,Corporate,2493
2025,04,MERCEDES-BENZ,Private,1069
2025,04,MERCEDES-BENZ,RAC,1390
2025,04,MERCEDES-V,Corporate,168
2025,04,MERCEDES-V,Private,54
2025,04,MERCEDES-V,RAC,148
2025,04,MG,Corporate,201
2025,04,MG,Private,2662
2025,04,MG,RAC,766
2025,04,MICROCAR,Private,1
2025,04,MINI,Corporate,290
2025,04,MINI,Private,294
2025,04,MINI,RAC,211
2025,04,MITSUBISHI,Corporate,204
2025,04,MITSUBISHI,Private,131
2025,04,MITSUBISHI,RAC,802
2025,04,MITSUBISHI FUSO,Corporate,3
2025,04,MOBILVETTA,Private,1
2025,04,MOBILVETTA DESIGN,Corporate,1
2025,04,MOBILVETTA DESIGN,Private,10
2025,04,MOBILVETTA DESIGN,RAC,1
2025,04,MODELCAR HNOS,Corporate,1
2025,04,MODELCAR HNOS,RAC,1
2025,04,MOVEX,Corporate,3
2025,04,MULTIGOM,Private,1
2025,04,MULTITEL,Corporate,4
2025,04,NARROTRAILER FRUEHAUF,Corporate,2
2025,04,NISSAN,Corporate,1157
2025,04,NISSAN,Private,1002
2025,04,NISSAN,RAC,340
2025,04,NORTH CAPE,Private,2
2025,04,OIL&STEEL,RAC,1
2025,04,OMODA,Corporate,134
2025,04,OMODA,Private,578
2025,04,OMODA,RAC,113
2025,04,OPEL,Corporate,1790
2025,04,OPEL,Private,609
2025,04,OPEL,RAC,668
2025,04,OTOKAR,Corporate,1
2025,04,OTOKAR,RAC,1
2025,04,PANAMA,Private,7
2025,04,PANAMA,RAC,1
2025,04,PERIANES,Corporate,1
2025,04,PEUGEOT,Corporate,3329
2025,04,PEUGEOT,Private,1507
2025,04,PEUGEOT,RAC,3055
2025,04,PIAGGIO,Corporate,4
2025,04,PILOTE,Private,13
2025,04,PILOTE,RAC,1
2025,04,PIRINEUS,Corporate,3
2025,04,POESSL,Private,1
2025,04,POLARIS,Corporate,6
2025,04,POLARIS,Private,12
2025,04,POLARIS,RAC,1
2025,04,POLESTAR,Corporate,32
2025,04,POLESTAR,Private,16
2025,04,PONCIN VEHICLES,Corporate,1
2025,04,PONIENTE,RAC,1
2025,04,PORSCHE,Corporate,177
2025,04,PORSCHE,Private,109
2025,04,PORSCHE,RAC,6
2025,04,POSSL,Corporate,1
2025,04,POSSL,Private,5
2025,04,POSSL,RAC,2
2025,04,PROCHASIS,Corporate,1
2025,04,PUJOL,Corporate,8
2025,04,PUJOL,RAC,12
2025,04,QUADDY,Corporate,6
2025,04,QUADDY,Private,6
2025,04,RAID SERVICES 4X4 S.L,Corporate,1
2025,04,RANDGER,Private,5
2025,04,RAPID,Corporate,1
2025,04,RAPID,Private,2
2025,04,RAPID,RAC,1
2025,04,RAPIDO,Corporate,1
2025,04,RAPIDO,Private,7
2025,04,RECAPOL,Corporate,10
2025,04,RECAPOL,RAC,22
2025,04,REGA,Private,1
2025,04,REHATRANS,Corporate,12
2025,04,REHATRANS,Private,2
2025,04,REMASFRI,Corporate,1
2025,04,RENAULT,Corporate,4695
2025,04,RENAULT,Private,2788
2025,04,RENAULT,RAC,1466
2025,04,RIMOR,Corporate,1
2025,04,RIMOR,Private,1
2025,04,RIMOR,RAC,7
2025,04,RIUDACARR,Corporate,1
2025,04,RODRIGUEZ LOPEZ AUTO,Private,121
2025,04,RODRIGUEZ LOPEZ AUTO,RAC,4
2025,04,ROLLER TEAM,Corporate,1
2025,04,ROLLER TEAM,Private,18
2025,04,ROLLER TEAM,RAC,13
2025,04,ROMERO,Corporate,1
2025,04,ROMU,Corporate,10
2025,04,ROMU,Private,2
2025,04,ROMU,RAC,2
2025,04,ROTOMAR,Corporate,4
2025,04,SALEO-KRANE,Corporate,1
2025,04,SARTRUCK,Corporate,7
2025,04,SARTRUCK,RAC,2
2025,04,SCANIA,Corporate,2
2025,04,SCORA,Corporate,2
2025,04,SEAT,Corporate,1722
2025,04,SEAT,Private,2295
2025,04,SEAT,RAC,1551
2025,04,SEGWAY,Corporate,2
2025,04,SEGWAY,Private,4
2025,04,"SEMICARFRAN,S.L",Corporate,14
2025,04,"SEMICARFRAN,S.L",Private,2
2025,04,"SEMICARFRAN,S.L",RAC,8
2025,04,SERES,Private,1
