anyo,mes,dia,marca,canal,fuel_type,count
2026,06,11,HONDA,Corporate,ICE,5
2026,06,11,HONDA,Private,ICE,15
2026,06,11,HONDA,Private,PHEV,1
2026,06,11,HYUNDAI,Corporate,ICE,28
2026,06,11,HYUNDAI,Corporate,PHEV,1
2026,06,11,HYUNDAI,Private,BEV,6
2026,06,11,HYUNDAI,Private,ICE,56
2026,06,11,HYUNDAI,Private,PHEV,5
2026,06,11,HYUNDAI,RAC,ICE,36
2026,06,11,IGLUVAN,Corporate,ICE,1
2026,06,11,IGLUVAN,RAC,ICE,3
2026,06,11,INCASE,Corporate,ICE,1
2026,06,11,IRIZAR,Corporate,ICE,5
2026,06,11,ISUZU,Corporate,ICE,1
2026,06,11,ITINEO,Private,ICE,1
2026,06,11,IVECO,Corporate,ICE,10
2026,06,11,IVECO,Private,ICE,2
2026,06,11,IVECO,RAC,ICE,7
2026,06,11,JAECOO,Corporate,ICE,4
2026,06,11,JAECOO,Corporate,PHEV,8
2026,06,11,JAECOO,Private,BEV,2
2026,06,11,JAECOO,Private,ICE,14
2026,06,11,JAECOO,Private,PHEV,10
2026,06,11,JEEP,Corporate,ICE,9
2026,06,11,JEEP,Private,BEV,1
2026,06,11,JEEP,Private,ICE,8
2026,06,11,KG MOBILITY,Private,ICE,7
2026,06,11,KIA,Corporate,BEV,11
2026,06,11,KIA,Corporate,ICE,60
2026,06,11,KIA,Private,BEV,35
2026,06,11,KIA,Private,ICE,102
2026,06,11,KIA,RAC,ICE,15
2026,06,11,KNAUS,Private,ICE,1
2026,06,11,LANCIA,Corporate,ICE,1
2026,06,11,LANCIA,Private,ICE,1
2026,06,11,LAND ROVER,Corporate,ICE,1
2026,06,11,LAND ROVER,Corporate,PHEV,1
2026,06,11,LAND ROVER,Private,ICE,2
2026,06,11,LAND ROVER,Private,PHEV,2
2026,06,11,LEAPMOTOR,Corporate,BEV,1
2026,06,11,LEAPMOTOR,Private,BEV,10
2026,06,11,LEXUS,Corporate,BEV,1
2026,06,11,LEXUS,Corporate,ICE,4
2026,06,11,LEXUS,Corporate,PHEV,6
2026,06,11,LEXUS,Private,BEV,2
2026,06,11,LEXUS,Private,ICE,10
2026,06,11,LEXUS,Private,PHEV,9
2026,06,11,LEXUS,RAC,ICE,1
2026,06,11,LIDERKIT,RAC,ICE,4
2026,06,11,LIGIER,Corporate,ICE,3
2026,06,11,LINHAI,Private,BEV,1
2026,06,11,LIUX,Corporate,BEV,1
2026,06,11,LIVAN,Private,ICE,1
2026,06,11,LONCIN,Private,ICE,1
2026,06,11,LYNK & CO,Corporate,PHEV,6
2026,06,11,LYNK & CO,Private,BEV,1
2026,06,11,LYNK & CO,Private,PHEV,1
2026,06,11,MAN,Corporate,ICE,1
2026,06,11,MAN,RAC,ICE,3
2026,06,11,MAXUS,Corporate,ICE,1
2026,06,11,MAXUS,Private,ICE,2
2026,06,11,MAZDA,Corporate,ICE,13
2026,06,11,MAZDA,Corporate,PHEV,2
2026,06,11,MAZDA,Private,BEV,4
2026,06,11,MAZDA,Private,ICE,46
2026,06,11,MAZDA,Private,PHEV,1
2026,06,11,MCLOUIS,Private,ICE,3
2026,06,11,MERCEDES BENZ,Corporate,ICE,1
2026,06,11,MERCEDES IDILIS,Corporate,ICE,1
2026,06,11,MERCEDES-BENZ,Corporate,BEV,8
2026,06,11,MERCEDES-BENZ,Corporate,ICE,95
2026,06,11,MERCEDES-BENZ,Corporate,PHEV,30
2026,06,11,MERCEDES-BENZ,Private,BEV,12
2026,06,11,MERCEDES-BENZ,Private,ICE,30
2026,06,11,MERCEDES-BENZ,Private,PHEV,14
2026,06,11,MERCEDES-BENZ,RAC,ICE,52
2026,06,11,MERCEDES-BENZ,RAC,PHEV,8
2026,06,11,MERCEDES-V,Corporate,ICE,4
2026,06,11,MERCEDES-V,Private,ICE,3
2026,06,11,MERCEDES-V,RAC,ICE,36
