anyo,mes,marca,canal,fuel_type,count
2025,01,CARROCERIAS CREVILLENTE,RAC,ICE,1
2025,01,CARROCERIAS DAFER,Corporate,ICE,1
2025,01,CARROCERIAS DEL VALLE,Corporate,ICE,2
2025,01,CARROCERIAS DEL VALLE,Private,ICE,2
2025,01,CARROCERIAS EL GALLO,Corporate,ICE,5
2025,01,CARROCERIAS EL GALLO,Private,ICE,1
2025,01,CARROCERIAS EL GALLO,RAC,ICE,1
2025,01,CARROCERIAS FRIGORIFICAS SEVIL,Corporate,ICE,6
2025,01,CARROCERIAS FRIGORIFICAS SEVIL,Private,ICE,1
2025,01,CARROCERIAS FRIGORIFICAS SEVIL,RAC,ICE,1
2025,01,CARROCERIAS JANKAR,Corporate,ICE,1
2025,01,CARROCERIAS JEREZ,Corporate,ICE,1
2025,01,CARROCERIAS JEREZ,RAC,ICE,4
2025,01,CARROCERIAS MINDA,Corporate,ICE,2
2025,01,CARROCERIAS MR,Corporate,ICE,1
2025,01,CARROCERIAS SALAMANCA,RAC,ICE,2
2025,01,CARROCERIAS SANCA,Corporate,ICE,5
2025,01,CARROCERIAS SANCA,Private,ICE,2
2025,01,CARROCERIAS SANCA SA,RAC,ICE,3
2025,01,"CARROCERIAS SANCA, S.A.",Corporate,ICE,47
2025,01,"CARROCERIAS SANCA, S.A.",Private,ICE,1
2025,01,"CARROCERIAS SANCA, S.A.",RAC,ICE,12
2025,01,CARROCERIAS SEVILLA,Corporate,ICE,14
2025,01,CARROCERIAS SEVILLA,Private,ICE,1
2025,01,CARROCERIAS SEVILLA,RAC,ICE,1
2025,01,CARROCERIAS YECLA,Corporate,ICE,1
2025,01,CARROSSERIES TOLOSA,Corporate,ICE,2
2025,01,CARROZADOS TECAI,Corporate,ICE,4
2025,01,CARROZADOS TECAI,Private,ICE,2
2025,01,CARROZADOS TECAI,RAC,ICE,31
2025,01,CARTHAGO,Private,ICE,1
2025,01,CAYVOL,Corporate,BEV,1
2025,01,CAYVOL,Corporate,ICE,7
2025,01,CENNTRO,Corporate,BEV,1
2025,01,CERRAJERIA AURELIO,Corporate,ICE,2
2025,01,CERRAPALMA,Private,ICE,1
2025,01,CFMOTO,Corporate,ICE,8
2025,01,CFMOTO,Private,ICE,33
2025,01,CHALLENGER,Private,ICE,20
2025,01,CHALLENGER,RAC,ICE,3
2025,01,CHAPINSA,Corporate,ICE,1
2025,01,CHAPISTERIA V.I.,Corporate,ICE,1
2025,01,CHAPISTERIA V.I.,RAC,ICE,4
2025,01,CHT,Corporate,ICE,13
2025,01,CI,Private,ICE,2
2025,01,CI,RAC,ICE,2
2025,01,CIBAD,RAC,ICE,5
2025,01,CITROEN,Corporate,BEV,253
2025,01,CITROEN,Corporate,ICE,1991
2025,01,CITROEN,Corporate,PHEV,15
2025,01,CITROEN,Private,BEV,230
2025,01,CITROEN,Private,ICE,1297
2025,01,CITROEN,Private,PHEV,4
2025,01,CITROEN,RAC,BEV,4
2025,01,CITROEN,RAC,ICE,387
2025,01,COCAR,RAC,ICE,1
2025,01,COINPOL,Corporate,ICE,5
2025,01,COINPOL,RAC,ICE,7
2025,01,COMPOCARR,RAC,ICE,1
2025,01,COOLGADES,Corporate,ICE,10
2025,01,CORVUS,Corporate,ICE,3
2025,01,CORVUS,Private,ICE,2
2025,01,COVALCA,Corporate,ICE,10
2025,01,CRASTIR,Corporate,ICE,1
2025,01,CUBY,Corporate,ICE,2
2025,01,CUPRA,Corporate,BEV,106
2025,01,CUPRA,Corporate,ICE,375
2025,01,CUPRA,Corporate,PHEV,225
2025,01,CUPRA,Private,BEV,28
2025,01,CUPRA,Private,ICE,274
2025,01,CUPRA,Private,PHEV,102
2025,01,DACIA,Corporate,BEV,187
2025,01,DACIA,Corporate,ICE,600
2025,01,DACIA,Private,BEV,192
2025,01,DACIA,Private,ICE,3706
2025,01,DACIA,RAC,ICE,27
2025,01,DETHLEFFS,Private,ICE,4
2025,01,DFSK,Corporate,BEV,6
2025,01,DFSK,Corporate,ICE,30
2025,01,DFSK,Corporate,PHEV,2
2025,01,DFSK,Private,ICE,10
2025,01,DFSK,Private,PHEV,16
2025,01,DIAZCUTILLAS,Corporate,ICE,1
2025,01,DIGAL,Corporate,ICE,2
2025,01,DIGAL,Private,ICE,2
2025,01,DIVISEGUR CATALUNYA,Corporate,ICE,51
2025,01,DODGE,Corporate,ICE,1
2025,01,DONGFENG,Corporate,BEV,3
2025,01,DONGFENG,Private,BEV,4
2025,01,DONOSO,Corporate,ICE,1
2025,01,DR,Corporate,ICE,2
2025,01,DR,Private,ICE,57
2025,01,DRD,Corporate,ICE,1
2025,01,DREAM,Private,ICE,3
2025,01,DREAMER,RAC,ICE,1
2025,01,DSK,Corporate,BEV,1
2025,01,DSK,Corporate,ICE,1
2025,01,EBRO,Corporate,ICE,139
2025,01,EBRO,Private,ICE,118
2025,01,ELNAGH,Private,ICE,4
2025,01,ELNAGH,RAC,ICE,3
2025,01,ENAIRE,RAC,ICE,1
2025,01,EQUIPFRED,Corporate,ICE,11
2025,01,ERJOMA,Corporate,ICE,2
2025,01,ERKE,Corporate,BEV,3
2025,01,ERKE,Corporate,ICE,103
2025,01,ERROBITRAK,Corporate,ICE,2
2025,01,ESCALANTE,Corporate,ICE,1
2025,01,ESI ITALIA,RAC,ICE,1
2025,01,ESMI,Corporate,ICE,2
2025,01,ETESIA,Corporate,BEV,1
2025,01,ETRUSCO,Private,ICE,1
2025,01,ETRUSCO,RAC,ICE,3
2025,01,ETXEBERRIA,Corporate,ICE,1
2025,01,ETXEBERRIA,Private,ICE,1
2025,01,ETXEBERRIA,RAC,ICE,2
2025,01,EUROCARROCERA,Corporate,ICE,9
2025,01,EUROGAZA,Corporate,ICE,1
2025,01,EVO,Corporate,ICE,14
2025,01,EVO,Private,ICE,93
2025,01,FEGAMAR,Corporate,ICE,1
2025,01,FERRARI,Corporate,PHEV,4
2025,01,FERRARI,Private,ICE,1
2025,01,FERRARI,Private,PHEV,2
2025,01,FERRARI,RAC,PHEV,1
2025,01,FIAT,Corporate,BEV,28
2025,01,FIAT,Corporate,ICE,549
2025,01,FIAT,Private,BEV,19
2025,01,FIAT,Private,ICE,299
2025,01,FIAT,RAC,BEV,2
2025,01,FIAT,RAC,ICE,64
