anyo,mes,dia,cod_prov,provincia,canal,fuel_type,count
2026,06,03,10,Cáceres,Private,ICE,16
2026,06,03,11,Cádiz,Corporate,ICE,5
2026,06,03,11,Cádiz,Corporate,PHEV,2
2026,06,03,11,Cádiz,Private,BEV,5
2026,06,03,11,Cádiz,Private,ICE,24
2026,06,03,11,Cádiz,Private,PHEV,2
2026,06,03,12,Castellón,Corporate,BEV,1
2026,06,03,12,Castellón,Corporate,ICE,29
2026,06,03,12,Castellón,Corporate,PHEV,1
2026,06,03,12,Castellón,Private,BEV,2
2026,06,03,12,Castellón,Private,ICE,9
2026,06,03,12,Castellón,Private,PHEV,3
2026,06,03,13,Ciudad Real,Corporate,BEV,1
2026,06,03,13,Ciudad Real,Corporate,ICE,3
2026,06,03,13,Ciudad Real,Corporate,PHEV,1
2026,06,03,13,Ciudad Real,Private,BEV,2
2026,06,03,13,Ciudad Real,Private,ICE,16
2026,06,03,13,Ciudad Real,Private,PHEV,3
2026,06,03,14,Córdoba,Corporate,BEV,1
2026,06,03,14,Córdoba,Corporate,ICE,5
2026,06,03,14,Córdoba,Private,BEV,4
2026,06,03,14,Córdoba,Private,ICE,11
2026,06,03,14,Córdoba,Private,PHEV,1
2026,06,03,14,Córdoba,RAC,ICE,2
2026,06,03,15,A Coruña,Corporate,BEV,3
2026,06,03,15,A Coruña,Corporate,ICE,3
2026,06,03,15,A Coruña,Corporate,PHEV,1
2026,06,03,15,A Coruña,Private,BEV,5
2026,06,03,15,A Coruña,Private,ICE,24
2026,06,03,15,A Coruña,Private,PHEV,1
2026,06,03,16,Cuenca,Corporate,BEV,1
2026,06,03,16,Cuenca,Corporate,ICE,1
2026,06,03,16,Cuenca,Private,ICE,5
2026,06,03,16,Cuenca,Private,PHEV,1
2026,06,03,17,Girona,Corporate,BEV,1
2026,06,03,17,Girona,Corporate,ICE,8
2026,06,03,17,Girona,Corporate,PHEV,1
2026,06,03,17,Girona,Private,BEV,5
2026,06,03,17,Girona,Private,ICE,30
2026,06,03,17,Girona,Private,PHEV,4
2026,06,03,17,Girona,RAC,ICE,2
2026,06,03,18,Granada,Corporate,ICE,5
2026,06,03,18,Granada,Corporate,PHEV,1
2026,06,03,18,Granada,Private,BEV,9
2026,06,03,18,Granada,Private,ICE,21
2026,06,03,18,Granada,Private,PHEV,2
2026,06,03,19,Guadalajara,Private,BEV,3
